"year","countries","previous_map_gamma1","map_full_gamma2","snow_full_gamma2","map_matched_gamma2","snow_matched_gamma2","ihme_malaria","matched_snow_vs_map_percent","full_snow_vs_map_percent","map_gamma2_vs_previous_percent"
2005,42,885822.757930022,973147.614140317,800523.924597625,917749.843112533,801152.71596503,564066.526910137,-12.7046741574007,-17.7386952435976,9.85805065726175
2015,42,637701.2105912,694533.52881388,518942.927596107,651305.613480446,519504.674277535,416121.688943615,-20.2364199655203,-25.2818033879007,8.91206058241485
2024,42,545150.104950561,592353.17563722,439132.120201509,555620.842792962,439630.63783792,428146.804091449,-20.8757836318719,-25.8665035889922,8.6587290836053
