"iso3","year","political_stability","political_stability_source","gdp_pc","log_gdp_pc_source","health_expenditure_pc","log_health_expenditure_pc_source"
"ZWE",2014,-0.976551899999999,"wgi_observed",1372.91526173161,"wdi_observed",111.61201477,"ghed_observed"
"SOM",2015,-2.2815589,"wgi_observed",445.583080073396,"wdi_observed",14.11613941,"ghed_observed"
"SSD",2015,-2.2792733,"wgi_observed",1080.14718624765,"wdi_observed",51.9480265629683,"gam_backcast_before_series"
"ZWE",2015,-0.856518799999999,"wgi_observed",1387.12632595026,"wdi_observed",103.31652832,"ghed_observed"
"SOM",2016,-2.2701767,"wgi_observed",460.928490585175,"wdi_observed",11.76618958,"ghed_observed"
"SSD",2016,-2.33343,"wgi_observed",1426.33695918448,"gam_forecast_after_series",62.4488787365686,"gam_backcast_before_series"
"ZWE",2016,-0.9112005,"wgi_observed",1408.13945253431,"wdi_observed",102.15909576,"ghed_observed"
"SOM",2017,-2.022776,"wgi_observed",510.939952317726,"wdi_observed",13.51753426,"ghed_observed"
"SSD",2017,-2.44555199999999,"wgi_observed",1438.8686060666,"gam_forecast_after_series",28.05690956,"ghed_observed"
"ZWE",2017,-0.8348774,"wgi_observed",3445.44941020134,"wdi_observed",91.87199402,"ghed_observed"
"SOM",2018,-2.06147769999999,"wgi_observed",509.497273804534,"wdi_observed",12.7819252,"ghed_observed"
"SSD",2018,-2.3307387,"wgi_observed",1464.00341781468,"gam_forecast_after_series",31.12328529,"ghed_observed"
"ZWE",2018,-0.824492,"wgi_observed",2270.89531874302,"wdi_observed",114.76815033,"ghed_observed"
"SOM",2019,-2.0704895,"wgi_observed",539.954816211694,"wdi_observed",12.99074364,"ghed_observed"
"SSD",2019,-2.39114589999999,"wgi_observed",1500.43688350022,"gam_forecast_after_series",35.18021774,"ghed_observed"
"ZWE",2019,-0.984582,"wgi_observed",2184.52155388801,"wdi_observed",55.10725403,"ghed_observed"
"SOM",2020,-2.3507544,"wgi_observed",518.16113333875,"wdi_observed",12.79912567,"ghed_observed"
"SSD",2020,-2.1055063,"wgi_observed",1545.2904040111,"gam_forecast_after_series",47.40253067,"ghed_observed"
"ZWE",2020,-1.0459616,"wgi_observed",2059.63704025274,"wdi_observed",51.14250565,"ghed_observed"
"SOM",2021,-2.60696149999999,"wgi_observed",549.056994756254,"wdi_observed",15.01879692,"ghed_observed"
"SSD",2021,-2.21948739999999,"wgi_observed",1595.3071757199,"gam_forecast_after_series",34.78803635,"ghed_observed"
"ZWE",2021,-1.0184197,"wgi_observed",2613.6167414057,"wdi_observed",60.89874268,"ghed_observed"
"SOM",2022,-2.092858,"wgi_observed",573.141165798229,"wdi_observed",16.31684875,"ghed_observed"
"SSD",2022,-1.6425543,"wgi_observed",1647.91648917824,"gam_forecast_after_series",48.03352737,"ghed_observed"
"ZWE",2022,-0.8261001,"wgi_observed",2536.40197087505,"wdi_observed",68.90727997,"ghed_observed"
"SOM",2023,-2.1717975,"wgi_observed",596.885985135589,"wdi_observed",22.37065506,"ghed_observed"
"SSD",2023,-1.52967079999999,"wgi_observed",1701.83792950082,"gam_forecast_after_series",72.75582886,"ghed_observed"
"ZWE",2023,-0.998213999999999,"wgi_observed",2195.22502010174,"wdi_observed",62.92946243,"ghed_observed"
"SOM",2024,-2.2630781,"wgi_observed",629.538899449007,"wdi_observed",18.1912329676081,"gam_forecast_after_series"
"SSD",2024,-1.4896464,"wgi_observed",1757.00546040299,"gam_forecast_after_series",78.8791837914502,"gam_forecast_after_series"
"ZWE",2024,-1.0172382,"wgi_observed",2496.15514995576,"wdi_observed",113.263029286257,"gam_forecast_after_series"
