"age_band","pfpr_pct","reference_pct","attributable_fraction","lower_95","upper_95","zero_below_observed_support","current_outside_observed_support"
"<1",10,0,0.0297157709442681,-0.00160866055154396,0.0600605583463524,TRUE,FALSE
"<1",20,0,0.0619678549757241,0.0104785534443176,0.110777933958271,TRUE,FALSE
"<1",30,0,0.0963262745376535,0.0377558717651797,0.151331581945791,TRUE,FALSE
"<1",50,0,0.132981228928478,0.0686799876096059,0.192842911792534,TRUE,FALSE
"1-5",10,0,0.0477207794734477,0.0113500595748302,0.0827534835467927,TRUE,FALSE
"1-5",20,0,0.0916281497276522,0.0300713109115847,0.149278263804411,TRUE,FALSE
"1-5",30,0,0.130198252526213,0.0559175930105914,0.19863448962995,TRUE,FALSE
"1-5",50,0,0.183031703530652,0.0964403724546334,0.261324679535311,TRUE,FALSE
"6-11",10,0,0.136108817023937,0.0881230128551864,0.181569458880026,TRUE,FALSE
"6-11",20,0,0.245480665143648,0.173651707608661,0.311066009437016,TRUE,FALSE
"6-11",30,0,0.327544489558732,0.251975688870589,0.395478988055785,TRUE,FALSE
"6-11",50,0,0.425352790581753,0.352638784960128,0.489899290194826,TRUE,FALSE
"12-23",10,0,0.266550749702797,0.203404304800469,0.324691551808119,TRUE,FALSE
"12-23",20,0,0.421775347132451,0.340970266051175,0.492672739998466,TRUE,FALSE
"12-23",30,0,0.489648930955143,0.413564851654546,0.555861863992846,TRUE,FALSE
"12-23",50,0,0.531914335832347,0.458486034049642,0.595385894406722,TRUE,FALSE
"24-35",10,0,0.303330576675341,0.236716090729258,0.364131380865575,TRUE,FALSE
"24-35",20,0,0.471315418347876,0.389549098185148,0.542129619195067,TRUE,FALSE
"24-35",30,0,0.540806698607314,0.466084347660469,0.605071536824277,TRUE,FALSE
"24-35",50,0,0.570721619517972,0.498068448137779,0.632858449990693,TRUE,FALSE
"36-47",10,0,0.283711070584148,0.209331222048756,0.351093852810076,TRUE,FALSE
"36-47",20,0,0.445433237056669,0.351968375770574,0.525417768111016,TRUE,FALSE
"36-47",30,0,0.51375444533443,0.427074252301362,0.58732045054398,TRUE,FALSE
"36-47",50,0,0.53413287441528,0.447713410584197,0.607029786962344,TRUE,FALSE
"48-59",10,0,0.28784602454714,0.20005567570556,0.366001771184968,TRUE,FALSE
"48-59",20,0,0.436339341188801,0.324068686260427,0.529962095506815,TRUE,FALSE
"48-59",30,0,0.476704150572259,0.367722724675465,0.566901173400949,TRUE,FALSE
"48-59",50,0,0.47425198184554,0.361575122620924,0.567042281108951,TRUE,FALSE
