"age_band","pfpr_pct","log_hr_zero_vs_current","log_hr_se","attributable_fraction","af_lower_95","af_upper_95","zero_below_observed_support","current_outside_central95"
"<1",10,-0.0301662307614959,0.016211019798269,0.0297157709442681,-0.00160866055154388,0.0600605583463524,TRUE,FALSE
"<1",20,-0.0639710608144118,0.0272638881500535,0.0619678549757241,0.0104785534443176,0.110777933958271,TRUE,FALSE
"<1",30,-0.101286906899522,0.0320407234400024,0.0963262745376536,0.0377558717651797,0.151331581945791,TRUE,FALSE
"<1",40,-0.130451933506716,0.0345670373787777,0.122301320167458,0.0607753084230125,0.179796933057268,TRUE,FALSE
"1-5",10,-0.0488969883220487,0.0191234822693782,0.0477207794734477,0.0113500595748301,0.0827534835467927,TRUE,FALSE
"1-5",20,-0.096101457482368,0.0334534341283166,0.0916281497276522,0.0300713109115847,0.149278263804411,TRUE,FALSE
"1-5",30,-0.139489969768207,0.0418102799291654,0.130198252526213,0.0559175930105914,0.19863448962995,TRUE,FALSE
"1-5",40,-0.175650779155831,0.0472870485510475,0.161089102639986,0.0796195520104599,0.235347192297829,TRUE,FALSE
"6-11",10,-0.146308463739455,0.0275807567436393,0.136108817023937,0.0881230128551864,0.181569458880026,TRUE,FALSE
"6-11",20,-0.281674375050418,0.0463956337784493,0.245480665143647,0.173651707608661,0.311066009437016,TRUE,FALSE
"6-11",30,-0.396819325172182,0.0543364924215646,0.327544489558732,0.251975688870589,0.395478988055785,TRUE,FALSE
"6-11",40,-0.487489744466809,0.0581660640104242,0.385833825206969,0.311668178762126,0.452008350301808,TRUE,FALSE
"12-23",10,-0.309996872208268,0.0421371734651152,0.266550749702797,0.203404304800469,0.324691551808119,TRUE,FALSE
"12-23",20,-0.547792813042232,0.0667378506865735,0.421775347132451,0.340970266051175,0.492672739998466,TRUE,FALSE
"12-23",30,-0.672656419405996,0.0708996063252992,0.489648930955143,0.413564851654546,0.555861863992846,TRUE,FALSE
"12-23",40,-0.727996965540699,0.0713269531960523,0.517124762205737,0.444671882528859,0.580124816411834,TRUE,FALSE
"24-35",10,-0.361444265773871,0.046591349436448,0.303330576675341,0.236716090729258,0.364131380865575,TRUE,FALSE
"24-35",20,-0.637363278919664,0.0733703404829064,0.471315418347876,0.389549098185148,0.542129619195067,TRUE,FALSE
"24-35",30,-0.778284021642661,0.076921742206251,0.540806698607314,0.466084347660469,0.605071536824277,TRUE,FALSE
"24-35",40,-0.831145283237858,0.0765253640298791,0.564449827748923,0.493968100777127,0.625114636371192,TRUE,FALSE
"36-47",10,-0.333671660715212,0.0504058793049779,0.283711070584148,0.209331222048756,0.351093852810076,TRUE,FALSE
"36-47",20,-0.589568077377549,0.0794654573367632,0.445433237056669,0.351968375770574,0.525417768111016,TRUE,FALSE
"36-47",30,-0.72104152616722,0.0836950869054941,0.51375444533443,0.427074252301362,0.58732045054398,TRUE,FALSE
"36-47",40,-0.764743678910938,0.0834714506412831,0.534546778838079,0.451813452959269,0.604793838412254,TRUE,FALSE
"48-59",10,-0.339461133291967,0.0593101963897898,0.28784602454714,0.20005567570556,0.366001771184968,TRUE,FALSE
"48-59",20,-0.57330287733384,0.0926729909888853,0.436339341188801,0.324068686260427,0.529962095506815,TRUE,FALSE
"48-59",30,-0.647608297170418,0.0965209402561281,0.476704150572259,0.367722724675465,0.566901173400949,TRUE,FALSE
"48-59",40,-0.646503018324398,0.0956276159135578,0.476125442981963,0.368130814440507,0.565662390629421,TRUE,FALSE
