"age_band","previous_edf","revised_edf"
"<1",2.2182407625254,2.25682571766677
"1-5",1.76893957551667,1.77078453104883
"6-11",2.2411310889881,2.33443716098132
"12-23",3.26521246974037,3.30605240520396
"24-35",3.39472534009018,3.38072407525557
"36-47",3.11935068967165,3.21123821214508
"48-59",3.21640064113055,3.16094074654435
