"variable","mean","sd"
"mean_maternal_age_first_birth",19.2693150826369,1.21436686704294
"mean_maternal_education_years",4.23840445714099,2.66481924413644
"mean_wealth_quintile",2.78723131527982,0.711280049871359
"urban_pct",29.1742578791405,24.0986706235401
"dtp3_pct",69.152102874411,24.2433066311432
"measles_pct",70.8378158583606,20.2411765469895
"facility_delivery_pct",60.9376084408383,26.0945626188424
"short_birth_interval_pct",19.31333099891,6.99346502442259
"improved_water_pct",68.3170363296285,19.9602746670749
"improved_sanitation_pct",44.4779293241483,24.6746045469024
"electricity_pct",32.4300828453423,25.6863914768374
"wasting_pct",8.03668325235894,5.36690345888417
"stunting_pct",34.8897892935502,12.2012275812196
"log_hiv_incidence",-0.0137991792868858,1.16758324618806
"log_gdp_pc",6.84781407641132,0.778660653800234
"log_health_expenditure_pc",3.70219135109353,0.70963452704705
"political_stability",-0.846858017285677,0.771999750815874
