"age_band","contrast","hazard_ratio","lower_95","upper_95","zero_extrapolation","iteration","reduction_pct","reduction_lower_95","reduction_upper_95"
"<1","40% to 20%",0.955589621489363,0.926290709883853,0.98581526831105,FALSE,"Previous 18-variable adjustment",4.4410378510637,1.418473168895,7.3709290116147
"1-5","40% to 20%",0.936942101393043,0.89883183880301,0.976668230324232,FALSE,"Previous 18-variable adjustment",6.3057898606957,2.3331769675768,10.116816119699
"6-11","40% to 20%",0.832517424255566,0.791974363227052,0.87513598150452,FALSE,"Previous 18-variable adjustment",16.7482575744434,12.486401849548,20.8025636772948
"12-23","40% to 20%",0.872288216897177,0.815862263462835,0.932616652850395,FALSE,"Previous 18-variable adjustment",12.7711783102823,6.7383347149605,18.4137736537165
"24-35","40% to 20%",0.851180139322135,0.791159990880035,0.915753624965987,FALSE,"Previous 18-variable adjustment",14.8819860677865,8.4246375034013,20.8840009119965
"36-47","40% to 20%",0.865579696012806,0.797816406383827,0.939098524616164,FALSE,"Previous 18-variable adjustment",13.4420303987194,6.0901475383836,20.2183593616173
"48-59","40% to 20%",0.966582601583184,0.871601287400726,1.07191434798073,FALSE,"Previous 18-variable adjustment",3.3417398416816,-7.191434798073,12.8398712599274
"<1","20% to 0%",0.961472721766025,0.913553594396851,1.01190537738566,TRUE,"Previous 18-variable adjustment",3.8527278233975,-1.19053773856563,8.64464056031492
"1-5","20% to 0%",0.925677917665249,0.867576429645726,0.987670455273868,TRUE,"Previous 18-variable adjustment",7.4322082334751,1.23295447261323,13.2423570354274
"6-11","20% to 0%",0.778709018971772,0.714452746027914,0.848744356571186,TRUE,"Previous 18-variable adjustment",22.1290981028228,15.1255643428814,28.5547253972086
"12-23","20% to 0%",0.621402156006371,0.548394823392607,0.704128892210422,TRUE,"Previous 18-variable adjustment",37.8597843993629,29.5871107789578,45.1605176607393
"24-35","20% to 0%",0.548192885487865,0.476454890867711,0.630732196183816,TRUE,"Previous 18-variable adjustment",45.1807114512135,36.9267803816184,52.3545109132289
"36-47","20% to 0%",0.603114822292074,0.518592690787277,0.701412679604477,TRUE,"Previous 18-variable adjustment",39.6885177707926,29.8587320395523,48.1407309212723
"48-59","20% to 0%",0.574539117492516,0.480006204734153,0.687689438747775,TRUE,"Previous 18-variable adjustment",42.5460882507484,31.2310561252225,51.9993795265847
"<1","40% to 20%",0.935680812739981,0.906068956920131,0.966260433759597,FALSE,"Revised 17-variable adjustment",6.4319187260019,3.3739566240403,9.3931043079869
"1-5","40% to 20%",0.92353246867843,0.885856459806251,0.962810860903829,FALSE,"Revised 17-variable adjustment",7.646753132157,3.71891390961711,11.4143540193749
"6-11","40% to 20%",0.813983348630764,0.773245822324423,0.856867082522903,FALSE,"Revised 17-variable adjustment",18.6016651369236,14.3132917477097,22.6754177675577
"12-23","40% to 20%",0.83509970631583,0.779558252557644,0.894598341048564,FALSE,"Revised 17-variable adjustment",16.490029368417,10.5401658951436,22.0441747442356
"24-35","40% to 20%",0.8238374777074,0.764999556531241,0.887200762249818,FALSE,"Revised 17-variable adjustment",17.61625222926,11.2799237750182,23.5000443468759
"36-47","40% to 20%",0.839309623771094,0.772647276856995,0.911723454744224,FALSE,"Revised 17-variable adjustment",16.0690376228906,8.8276545255776,22.7352723143005
"48-59","40% to 20%",0.929414797411845,0.838480442379783,1.03021110808073,FALSE,"Revised 17-variable adjustment",7.0585202588155,-3.02111080807299,16.1519557620217
"<1","20% to 0%",0.938032145024276,0.889222066041729,0.989521446555682,TRUE,"Revised 17-variable adjustment",6.1967854975724,1.04785534443176,11.0777933958271
"1-5","20% to 0%",0.908371850272348,0.85072173619559,0.969928689088415,TRUE,"Revised 17-variable adjustment",9.1628149727652,3.00713109115848,14.9278263804411
"6-11","20% to 0%",0.754519334856353,0.688933990562984,0.826348292391339,TRUE,"Revised 17-variable adjustment",24.5480665143647,17.3651707608661,31.1066009437016
"12-23","20% to 0%",0.578224652867549,0.507327260001534,0.659029733948826,TRUE,"Revised 17-variable adjustment",42.1775347132451,34.0970266051174,49.2672739998466
"24-35","20% to 0%",0.528684581652124,0.457870380804933,0.610450901814853,TRUE,"Revised 17-variable adjustment",47.1315418347876,38.9549098185147,54.2129619195067
"36-47","20% to 0%",0.554566762943331,0.474582231888984,0.648031624229426,TRUE,"Revised 17-variable adjustment",44.5433237056669,35.1968375770574,52.5417768111016
"48-59","20% to 0%",0.563660658811199,0.470037904493185,0.675931313739574,TRUE,"Revised 17-variable adjustment",43.6339341188801,32.4068686260426,52.9962095506815
