"group","records","observed_deaths","fitted_deaths","age_band","grouping","observed_probability","fitted_probability","residual_deaths"
"AGO",25690,497,521.835609800732,"<1","country",0.0193460490463215,0.0203127913507486,-24.8356098007323
"BDI",20272,491,502.478906850003,"<1","country",0.0242205998421468,0.0247868442605566,-11.4789068500028
"BEN",13516,394,386.459387928113,"<1","country",0.0291506362829239,0.02859273364369,7.54061207188653
"BFA",33233,825,832.684114735728,"<1","country",0.0248247224144675,0.025055941826971,-7.68411473572769
"CIV",17967,610,590.172172114877,"<1","country",0.0339511326320476,0.0328475634282227,19.8278278851234
"CMR",25717,789,789.733115963369,"<1","country",0.0306800948788739,0.0307086019350379,-0.73311596336896
"COD",51995,1456,1457.18170141223,"<1","country",0.0280026925665929,0.0280254197790601,-1.18170141222731
"COG",13339,316,323.66786438701,"<1","country",0.0236899317789939,0.0242647772986738,-7.66786438701041
"COM",3160,72,76.7033200674954,"<1","country",0.0227848101265823,0.0242732025530049,-4.70332006749544
"ETH",47348,1511,1498.17563503121,"<1","country",0.0319126467855031,0.0316417934238238,12.824364968789
"GAB",12482,254,263.677913755324,"<1","country",0.0203493029963147,0.0211246526001702,-9.67791375532408
"GHA",18281,425,424.525323874104,"<1","country",0.0232481811717083,0.0232222156268313,0.474676125896167
"GIN",20297,719,704.907056306126,"<1","country",0.0354239542789575,0.0347296179881818,14.0929436938735
"GMB",16466,459,451.276659528884,"<1","country",0.0278756224948378,0.0274065747315003,7.72334047111588
"KEN",49785,1166,1170.43986433079,"<1","country",0.0234207090489103,0.0235098898128109,-4.43986433079203
"MDG",15957,397,407.574167736888,"<1","country",0.0248793632888388,0.0255420296883429,-10.5741677368876
"MLI",49170,1677,1665.66410042179,"<1","country",0.0341061622940818,0.0338756172548667,11.3358995782055
"MOZ",26598,790,786.34124866756,"<1","country",0.0297014813143845,0.0295639239291511,3.65875133243958
"MRT",11167,280,279.624825868777,"<1","country",0.0250738783916898,0.0250402817111827,0.375174131222707
"MWI",56828,1553,1560.09239096368,"<1","country",0.027328077708172,0.0274528822229127,-7.09239096368469
"NAM",9056,193,191.790545427353,"<1","country",0.0213118374558304,0.0211782846099109,1.20945457264676
"NER",20604,521,540.524638279744,"<1","country",0.0252863521646282,0.0262339661366601,-19.524638279744
"NGA",124855,4796,4768.86533511882,"<1","country",0.0384125585679388,0.0381952291467608,27.1346648811805
"RWA",32324,822,822.373087754475,"<1","country",0.0254300210370004,0.0254415631652789,-0.373087754474682
"SEN",84522,2199,2194.06235145195,"<1","country",0.0260168950095833,0.025958476508506,4.93764854805477
"SLE",27592,947,932.239993692895,"<1","country",0.03432154247608,0.0337866045844047,14.7600063071051
"SWZ",1982,38,46.7156798844342,"<1","country",0.0191725529767911,0.0235699696692403,-8.71567988443421
"TCD",18064,538,539.064947250946,"<1","country",0.0297829937998229,0.0298419479213323,-1.06494725094637
"TGO",6260,158,158.711601389379,"<1","country",0.0252396166134185,0.0253532909567698,-0.7116013893787
"TZA",35824,963,966.257213668407,"<1","country",0.0268814202769093,0.0269723429451878,-3.25721366840708
"UGA",28630,744,758.827225308431,"<1","country",0.0259867272092211,0.0265046184180381,-14.8272253084315
"ZAF",2612,61,55.3780582764015,"<1","country",0.023353751914242,0.0212014005652379,5.6219417235985
"ZMB",38154,940,945.028286007549,"<1","country",0.024636997431462,0.0247687866542839,-5.02828600754901
"ZWE",6806,187,178.272489269235,"<1","country",0.0274757566852777,0.0261934306889854,8.72751073076535
"AO71FL",14290,312,309.594385397701,"<1","survey",0.0218334499650105,0.0216651074456054,2.40561460229935
"AO81FL",11400,185,212.241224403028,"<1","survey",0.0162280701754386,0.0186176512634235,-27.2412244030283
"BU61FL",7088,205,197.943140236855,"<1","survey",0.0289221218961625,0.0279265152704366,7.05685976314518
"BU71FL",13184,286,304.535766613142,"<1","survey",0.0216929611650485,0.0230988900647104,-18.5357666131418
"BJ71FL",13516,394,386.459387928113,"<1","survey",0.0291506362829239,0.02859273364369,7.54061207188653
"BF43FL",5786,162,163.070003353897,"<1","survey",0.0279986173522295,0.0281835470711886,-1.07000335389748
"BF62FL",15127,427,418.541479004826,"<1","survey",0.028227672373901,0.0276685052558224,8.45852099517401
"BF81FL",12320,236,251.072632377023,"<1","survey",0.0191558441558442,0.0203792721085246,-15.0726323770234
"CI62FL",7319,286,275.150746653369,"<1","survey",0.0390763765541741,0.0375940356132489,10.8492533466314
"CI81FL",10648,324,315.021425461508,"<1","survey",0.0304282494365139,0.0295850324437931,8.97857453849156
"CM44FL",5844,157,181.334252118331,"<1","survey",0.0268651608487337,0.0310291328060115,-24.334252118331
"CM61FL",11831,361,361.920562725852,"<1","survey",0.0305130589130251,0.0305908682888895,-0.920562725851596
"CM71FL",8042,271,246.478301119198,"<1","survey",0.0336980850534693,0.0306488810145732,24.5216988808021
"CD51FL",9043,340,319.814885671694,"<1","survey",0.0375981422094438,0.0353660163299451,20.1851143283064
"CD61FL",18750,522,537.647488313055,"<1","survey",0.02784,0.0286745327100296,-15.647488313055
"CD81FL",24202,594,599.71932742745,"<1","survey",0.024543426163127,0.0247797424769626,-5.71932742744968
"CG51FL",3972,134,117.223617255418,"<1","survey",0.0337361530715005,0.0295124917561475,16.7763827445822
"CG61FL",9367,182,206.444247131595,"<1","survey",0.019429913526209,0.0220395267568693,-24.4442471315948
"KM61FL",3160,72,76.7033200674954,"<1","survey",0.0227848101265823,0.0242732025530049,-4.70332006749544
"ET51FL",7815,266,279.335545348138,"<1","survey",0.0340371081253999,0.0357435118807598,-13.3355453481381
"ET61FL",11702,419,408.402799134682,"<1","survey",0.0358058451546744,0.0349002562924869,10.5972008653181
"ET71FL",10644,323,326.427084748837,"<1","survey",0.0303457346862082,0.0306677080748626,-3.4270847488371
"ET81FL",5770,222,193.752968696659,"<1","survey",0.038474870017331,0.0335793706579998,28.2470313033411
"ET8AFL",11417,281,290.257237102924,"<1","survey",0.0246124200753263,0.0254232492864083,-9.25723710292363
"GA61FL",6091,139,139.160286896695,"<1","survey",0.0228205549170908,0.022846870283483,-0.160286896695055
"GA71FL",6391,115,124.517626858628,"<1","survey",0.0179940541386325,0.0194832775557233,-9.51762685862772
"GH5AFL",2999,93,87.9652472100836,"<1","survey",0.0310103367789263,0.029331526245443,5.03475278991641
"GH72FL",5927,169,156.528852161886,"<1","survey",0.0285135819132782,0.026409457088221,12.4711478381141
"GH8CFL",9355,163,180.031224502136,"<1","survey",0.0174238375200428,0.0192443853022059,-17.0312245021362
"GN52FL",5215,212,205.558907174441,"<1","survey",0.0406519654841802,0.0394168566010433,6.44109282555897
"GN62FL",7092,239,245.038506601529,"<1","survey",0.0336999435984208,0.034551396869928,-6.03850660152909
"GN71FL",7990,268,254.309642530148,"<1","survey",0.0335419274092616,0.0318284909299309,13.6903574698518
"GM61FL",8097,173,205.869225152116,"<1","survey",0.021365938001729,0.0254253705263821,-32.8692251521155
"GM81FL",8369,286,245.407434376765,"<1","survey",0.034173736408173,0.0293233880244671,40.5925656232351
"KE42FL",3012,99,92.7773381905271,"<1","survey",0.0328685258964143,0.0308025691203609,6.22266180947285
"KE52FL",6083,176,177.304062563557,"<1","survey",0.0289330922242315,0.0291474704197859,-1.30406256355738
"KE72FL",21136,449,473.23008234614,"<1","survey",0.0212433762301287,0.0223897654402981,-24.2300823461403
"KE8CFL",19554,442,427.128381230532,"<1","survey",0.0226040707783574,0.0218435297755207,14.8716187694684
"MD42FL",3460,83,98.6280045894477,"<1","survey",0.0239884393063584,0.0285052036385687,-15.6280045894477
"MD81FL",12497,314,308.946163147437,"<1","survey",0.0251260302472593,0.0247216262420931,5.05383685256271
"ML53FL",13383,593,563.471731345263,"<1","survey",0.0443099454531869,0.04210354414894,29.5282686547365
"ML6AFL",10354,353,353.605438816075,"<1","survey",0.0340931041143519,0.0341515780197097,-0.605438816074638
"ML7AFL",9933,311,312.486493428172,"<1","survey",0.031309775495822,0.0314594275071148,-1.48649342817163
"ML8AFL",15500,420,436.100436832219,"<1","survey",0.0270967741935484,0.0281355120536915,-16.100436832219
"MZ41FL",6155,215,219.307313460915,"<1","survey",0.0349309504467912,0.0356307576703355,-4.3073134609148
"MZ62FL",11146,348,341.497459454041,"<1","survey",0.0312219630360667,0.0306385662528298,6.5025405459586
