"iso3","country","under5_person_years","model_deaths","ihme_malaria_deaths","model_rate","ihme_rate"
"AGO","Angola",5989099.51969406,20839.262354844,14651.9398492798,3.47953182048785,2.44643452677646
"BDI","Burundi",2382299.07874954,12240.3008584001,14430.2985954673,5.13802022910784,6.05729932240148
"BEN","Benin",2374831.91583738,11699.8651621804,7361.29305522589,4.92660768290837,3.09971118635158
"BFA","Burkina Faso",4563597.66158448,13628.2783454175,10708.7756030255,2.986301456883,2.34656435495399
"BWA","Botswana",245303.743809843,1.40601827437706,0.695282142301979,0.00573174405143604,0.00283437232348543
"CAF","Central African Republic",1239544.57229918,9209.77703131977,3864.81190981826,7.42996842319024,3.11792895244547
"CIV","Cote d'Ivoire",5129838.7998382,18233.4249913076,12847.9944570404,3.55438556702459,2.50456105120606
"CMR","Cameroon",5080013.70972336,22636.8205058915,16295.439261067,4.456055002876,3.20775497709324
"COD","Democratic Republic of the Congo",14487542.7651131,69517.8167722818,61774.2754897226,4.79845463784825,4.26395811154939
"COG","Congo",748005.88156137,2057.82474660608,1414.45241393579,2.75108097052743,1.89096429426905
"COM","Comoros",106869.087497981,27.082968887797,3.33028598949748,0.253421915746296,0.0311622946117173
"DJI","Djibouti",172771.625559554,82.869779799888,19.4005119570286,0.479649245247872,0.112289919679788
"ERI","Eritrea",990220.759709614,232.006945821927,43.3765641194195,0.234298204261001,0.0438049431847296
"ETH","Ethiopia",16621010.0376415,9251.51873858365,8908.38144328392,0.556615916700116,0.535971124685513
"GAB","Gabon",234578.463577268,369.926054035274,264.514045573738,1.57698216790232,1.12761436638283
"GHA","Ghana",4307740.32116884,7388.01682461047,6745.25942954957,1.71505621829262,1.56584634324461
"GIN","Guinea",2381724.83663457,11277.5756503759,7062.92867541533,4.7350455757565,2.96546795279483
"GMB","The Gambia",369367.866475798,396.128429302738,125.250703961608,1.07244962341274,0.339094748973825
"GNB","Guinea-Bissau",335056.659684562,475.679678253233,243.753822660091,1.41969921953218,0.727500306633428
"GNQ","Equatorial Guinea",202018.020449439,566.245436002939,718.459783286752,2.80294517658962,3.55641433218858
"KEN","Kenya",5865766.81870526,2504.2448994406,2762.50881132626,0.426925409215867,0.470954420233164
"LBR","Liberia",787389.810896593,2880.13198125239,2689.78371276534,3.65782226464528,3.41607635194378
"MDG","Madagascar",4690196.0162158,8076.9770334034,4898.31220543322,1.72209796892885,1.04437259946021
"MLI","Mali",4755157.53288383,20603.6241866481,12944.5842730324,4.33290044423676,2.72221985991324
"MOZ","Mozambique",5650334.27053511,19295.8269700119,10284.9934524545,3.4149885734432,1.82024513241417
"MRT","Mauritania",665993.310930152,185.020501971094,192.831907593039,0.277811351757703,0.289540306829392
"MWI","Malawi",2936531.14146223,7995.62521473073,5556.77907078908,2.72281301629559,1.89229359509605
"NAM","Namibia",331703.636094644,36.5468534804266,11.0131110529254,0.110179236835374,0.0332016591153165
"NER","Niger",5561688.39630124,37567.3751397023,20343.4978323923,6.75467096730666,3.65779173207935
"NGA","Nigeria",38629999.5738253,217541.849559473,138110.850542117,5.63142252030658,3.57522267837914
"RWA","Rwanda",1761286.33879587,945.207448088261,2147.105688144,0.536657457261872,1.2190554374094
"SEN","Senegal",2710858.4928661,1925.43084590833,766.297572416344,0.710266083963916,0.282677083452689
"SLE","Sierra Leone",1133126.19095386,8665.92741127355,6200.18547588636,7.64780434911542,5.47175197730365
"SOM","Somalia",4320414.66158727,4240.98071611593,1200.23039386064,0.981614277403141,0.27780444421964
"SSD","South Sudan",1391072.97104675,11250.9935908921,4779.0227833698,8.08799669396634,3.43549395526943
"SWZ","Swaziland",132566.90091164,40.0828600836674,0.481067001536171,0.302359486478332,0.0036288620932371
"TCD","Chad",4110996.43645608,19780.0629332261,4884.19831764987,4.8115008706448,1.18808137957433
"TGO","Togo",1132069.72987342,3820.21093065934,1863.65613692523,3.37453677088113,1.64623793724579
"TZA","Tanzania",9879885.18376089,9981.43380644717,9939.76533484766,1.0102783201219,1.00606081447031
"UGA","Uganda",7613956.25943417,24315.7294057593,26093.0901265167,3.19357356113395,3.42700814628213
"ZMB","Zambia",3233266.46433919,7102.77175835042,4717.79275413367,2.19677896538666,1.45914133776719
"ZWE","Zimbabwe",2195042.3371824,1184.05770605429,275.192339219123,0.539423630240395,0.125369945972143
