"age_band","records","deaths","distinct_children","surveys","countries","survey_regions"
"<1",216672,6041,216672,25,7,196
"1-5",193385,2186,193385,25,7,196
"6-11",185812,1866,185812,25,7,196
"12-23",161994,2050,161994,25,7,196
"24-35",162041,2007,162041,25,7,196
"36-47",157102,1137,157102,25,7,196
"48-59",153493,712,153493,25,7,196
