"series","age_band","pfpr_min","pfpr_p025","pfpr_p975","pfpr_max"
"Full analysis","<1",0.0164865959077473,1.76782403096607,67.5343293391306,94.7588284788529
"Full analysis","1-5",0.0164865959077473,1.76768905979204,67.3804721618428,94.7588284788529
"Full analysis","6-11",0.0164865959077473,1.75228032887322,67.0775337306141,94.7588284788529
"Full analysis","12-23",0.0164865959077473,1.74737139843124,66.3280806954508,94.7588284788529
"Full analysis","24-35",0.0164865959077473,1.74574104390516,66.3446960305032,94.7588284788529
"Full analysis","36-47",0.0164865959077473,1.74615801560054,66.4693798324298,94.7588284788529
"Full analysis","48-59",0.0164865959077473,1.72053231100745,66.3280806954508,94.7588284788529
"Sahel (≥12°N)","<1",1.20041401539612,1.78501701505593,67.2220584896402,80.62991415684
"Sahel (≥12°N)","1-5",1.20041401539612,1.78501701505593,67.0775337306141,80.62991415684
"Sahel (≥12°N)","6-11",1.20041401539612,1.78501701505593,67.0775337306141,80.62991415684
"Sahel (≥12°N)","12-23",1.20041401539612,1.78501701505593,65.0269778974797,80.62991415684
"Sahel (≥12°N)","24-35",1.20041401539612,1.77153726358038,64.8021491662964,80.62991415684
"Sahel (≥12°N)","36-47",1.20041401539612,1.78501701505593,64.8021491662964,80.62991415684
"Sahel (≥12°N)","48-59",1.20041401539612,1.77153726358038,64.8021491662964,80.62991415684
