"country","records","deaths","distinct_children","surveys","survey_regions"
"BFA",100337,1567,33316,3,21
"GMB",93729,823,28390,2,16
"MLI",228674,3806,69397,4,29
"MRT",65292,460,19345,1,13
"NER",116160,2299,36596,2,16
"SEN",566917,6126,172983,11,88
"TCD",59390,918,18653,2,13
