"age_band","variable","index","value"
"<1","pfpr_pct",1,1.20041401539612
"<1","pfpr_pct",2,3.58726200142951
"<1","pfpr_pct",3,7.98274422646605
"<1","pfpr_pct",4,20.0871357215589
"<1","pfpr_pct",5,80.62991415684
"<1","calendar_year",1,2000
"<1","calendar_year",2,2005.58333333333
"<1","calendar_year",3,2010.16666666667
"<1","calendar_year",4,2014.75
"<1","calendar_year",5,2019.33333333333
"<1","calendar_year",6,2023.91666666667
"1-5","pfpr_pct",1,1.20041401539612
"1-5","pfpr_pct",2,3.63027852972332
"1-5","pfpr_pct",3,8.24668677616256
"1-5","pfpr_pct",4,21.2319962264777
"1-5","pfpr_pct",5,80.62991415684
"1-5","calendar_year",1,2000
"1-5","calendar_year",2,2005.55
"1-5","calendar_year",3,2010.1
"1-5","calendar_year",4,2014.65
"1-5","calendar_year",5,2019.2
"1-5","calendar_year",6,2023.75
"6-11","pfpr_pct",1,1.20041401539612
"6-11","pfpr_pct",2,3.62474462893997
"6-11","pfpr_pct",3,8.21981596099892
"6-11","pfpr_pct",4,21.1026328259551
"6-11","pfpr_pct",5,80.62991415684
"6-11","calendar_year",1,2000
"6-11","calendar_year",2,2005.53333333333
"6-11","calendar_year",3,2010.06666666667
"6-11","calendar_year",4,2014.6
"6-11","calendar_year",5,2019.13333333333
"6-11","calendar_year",6,2023.66666666667
"12-23","pfpr_pct",1,1.20041401539612
"12-23","pfpr_pct",2,3.63004069300834
"12-23","pfpr_pct",3,8.03988779395993
"12-23","pfpr_pct",4,19.9252554423671
"12-23","pfpr_pct",5,80.62991415684
"12-23","calendar_year",1,2000
"12-23","calendar_year",2,2005.43333333333
"12-23","calendar_year",3,2009.86666666667
"12-23","calendar_year",4,2014.3
"12-23","calendar_year",5,2018.73333333333
"12-23","calendar_year",6,2023.16666666667
"24-35","pfpr_pct",1,1.20041401539612
"24-35","pfpr_pct",2,3.6282636062918
"24-35","pfpr_pct",3,8.06254197649275
"24-35","pfpr_pct",4,19.9300116708683
"24-35","pfpr_pct",5,80.62991415684
"24-35","calendar_year",1,2000
"24-35","calendar_year",2,2005.43333333333
"24-35","calendar_year",3,2009.86666666667
"24-35","calendar_year",4,2014.3
"24-35","calendar_year",5,2018.73333333333
"24-35","calendar_year",6,2023.16666666667
"36-47","pfpr_pct",1,1.20041401539612
"36-47","pfpr_pct",2,3.62639075638277
"36-47","pfpr_pct",3,8.03988779395993
"36-47","pfpr_pct",4,19.9252554423671
"36-47","pfpr_pct",5,80.62991415684
"36-47","calendar_year",1,2000
"36-47","calendar_year",2,2005.43333333333
"36-47","calendar_year",3,2009.86666666667
"36-47","calendar_year",4,2014.3
"36-47","calendar_year",5,2018.73333333333
"36-47","calendar_year",6,2023.16666666667
"48-59","pfpr_pct",1,1.20041401539612
"48-59","pfpr_pct",2,3.62648651957526
"48-59","pfpr_pct",3,8.08519615902556
"48-59","pfpr_pct",4,19.9347678993694
"48-59","pfpr_pct",5,80.62991415684
"48-59","calendar_year",1,2000
"48-59","calendar_year",2,2005.45
"48-59","calendar_year",3,2009.9
"48-59","calendar_year",4,2014.35
"48-59","calendar_year",5,2018.8
"48-59","calendar_year",6,2023.25
