"edf","Ref.df","Chi.sq","p-value","term","age_band"
1.50281255381048,1.75342315135375,3.98851580238483,0.15730907988672,"s(pfpr_pct)","<1"
1.28810118103858,1.4523584124041,4.87392129703884,0.0763997020041223,"s(calendar_year)","<1"
5.57217398850457,24,20.3249830795017,2.91254199626945e-05,"s(survey)","<1"
3.18905463812649,6,41.4627155561278,2.63370467505908e-05,"s(country)","<1"
17.3374362817998,195,39.602728296321,0,"s(region)","<1"
1.00011063339782,1.00021388283077,1.0530028247867,0.30485616319105,"s(pfpr_pct)","1-5"
1.00089578953196,1.00168077113541,1.07783400094506,0.299937613681099,"s(calendar_year)","1-5"
0.00022174466245975,24,0.000225066055189349,0.425765182854139,"s(survey)","1-5"
4.45404121910972,6,40.1765492109406,0,"s(country)","1-5"
0.000780214975455839,195,0.00121848683326384,7.27060207805774e-05,"s(region)","1-5"
1.61517495136765,1.89815283540185,25.5244326248475,4.09206371304593e-06,"s(pfpr_pct)","6-11"
1.0001763006252,1.0002894492321,6.24062535837819,0.0124931731734765,"s(calendar_year)","6-11"
9.55633859793818,24,58.2789377178532,9.36943573615068e-07,"s(survey)","6-11"
3.53588936559076,6,63.9523846053682,0.00349106152805712,"s(country)","6-11"
0.000603724956208656,195,0.00102708876806324,2.71437470622526e-05,"s(region)","6-11"
1.53672446345269,1.79952795845352,64.9808939569349,0,"s(pfpr_pct)","12-23"
1.0001751442331,1.00028770532621,6.50963245408149,0.0107325465316999,"s(calendar_year)","12-23"
7.50944733027139,24,33.5065410038853,2.70999878448919e-06,"s(survey)","12-23"
3.74493994880479,6,34.3915635003246,0.00884965026849982,"s(country)","12-23"
0.00194020543011744,195,0.00360451346100017,9.0839051688496e-06,"s(region)","12-23"
2.34399385059325,2.62518729786273,47.6823566323864,0,"s(pfpr_pct)","24-35"
1.00005178448532,1.000084958195,18.3111762704113,1.994487729573e-05,"s(calendar_year)","24-35"
6.85130185402929,24,27.7374422577334,9.32795161846522e-05,"s(survey)","24-35"
3.77477750863123,6,44.4991755953774,0.00249502519694733,"s(country)","24-35"
11.9516842600332,195,27.464727808297,0,"s(region)","24-35"
2.33423044990834,2.63333448282451,35.2978500396237,1.45795038164476e-06,"s(pfpr_pct)","36-47"
1.0006428020134,1.00119118123582,9.61148682633218,0.00193214440679629,"s(calendar_year)","36-47"
0.000390246821530186,24,0.000697411845241006,0.0451955290036941,"s(survey)","36-47"
4.33218203684402,6,28.2192660511265,3.16043582704317e-06,"s(country)","36-47"
3.49437634263082,195,7.29541237706896,0,"s(region)","36-47"
2.05055446272719,2.32056318443753,30.2850825601497,1.31738975944762e-06,"s(pfpr_pct)","48-59"
1.00008611166506,1.00015171036641,40.8051076155214,0,"s(calendar_year)","48-59"
4.32732697845529,24,11.4104512663774,0.000455901563449768,"s(survey)","48-59"
0.000348309775202441,6,0.000614353261864067,0.118568364546265,"s(country)","48-59"
0.000597475538537805,195,0.00107644689131519,4.73484954888193e-06,"s(region)","48-59"
