survey,source_label,regkey,reason
BF62FL,Centre (including Ouagadougou),centre,Current 13-region geography includes the capital within Centre
BF81FL,Centre (including Ouagadougou),centre,Current 13-region geography includes the capital within Centre
GA71FL,Estuaire (excluding Libreville),estuaire,Current 11-region survey geography reports Libreville separately
GA71FL,Ogooué-Maritime (excluding Port-Gentil),ogoouemaritime,Current 11-region survey geography reports Port-Gentil separately
BJ51FL,Littoral (Cotonou),littoral,The Littoral department is reported as Cotonou
BJ61FL,Littoral (Cotonou),littoral,The Littoral department is reported as Cotonou
BJ71FL,Littoral (Cotonou),littoral,The Littoral department is reported as Cotonou
