"iso3","year","allcause_deaths","under5_person_years","leaf_deaths","leaf_person_years","age_rows","death_sum_relative_error","person_year_sum_relative_error","ihme_malaria_deaths","ihme_native_rate_per100000","malaria_native_person_years","malaria_denominator_relative_difference"
"AGO",2015,77321.0488630937,5189560.9659698,77321.0488630937,5189560.96596985,6,-3.33066907387547e-16,9.76996261670138e-15,6832.55631081913,131.65962122081,5189560.96597002,4.15223411209809e-14
"AGO",2016,76008.0913416299,5302442.67412798,76008.09134163,5302442.674128,6,6.66133814775094e-16,3.5527136788005e-15,7102.59601152999,133.94951059415,5302442.67412813,2.88657986402541e-14
"AGO",2017,74588.0683824975,5406449.37516545,74588.0683824975,5406449.37516548,6,0,5.99520433297585e-15,7532.27757226622,139.32022755758,5406449.3751657,4.61852778244065e-14
"AGO",2018,73233.2148318906,5502881.87227479,73233.2148318906,5502881.87227481,6,-2.22044604925031e-16,3.99680288865056e-15,8120.27574603041,147.56405706149,5502881.8722751,5.6621374255883e-14
"AGO",2019,71994.2247235229,5593092.62697075,71994.2247235229,5593092.62697073,6,0,-3.66373598126302e-15,8504.47336601432,152.05314721598,5593092.62697099,4.15223411209809e-14
"AGO",2020,71732.646414694,5677767.03214072,71732.646414694,5677767.03214074,6,4.44089209850063e-16,3.77475828372553e-15,9999.7407128122,176.1210112392,5677767.03214075,4.88498130835069e-15
"AGO",2021,71112.2345811746,5757729.08228188,71112.2345811746,5757729.08228189,6,0,1.99840144432528e-15,11880.305593974,206.33665502833,5757729.08228196,1.33226762955019e-14
"AGO",2022,70503.9586758739,5833373.80139979,70503.9586758739,5833373.80139981,6,-6.66133814775094e-16,3.5527136788005e-15,10898.2269129496,186.82545099946,5833373.80139985,1.15463194561016e-14
"AGO",2023,71031.5692766797,5906389.31439643,71031.5692766797,5906389.31439644,6,6.66133814775094e-16,2.44249065417534e-15,8575.76414075322,145.19469822028,5906389.31439675,5.35127497869325e-14
"AGO",2024,78496.5769564463,5989099.51969406,78496.5769564463,5987358.15880472,6,0,-0.000290755043160229,14651.9398492798,244.574036097977,5990799.38453084,0.000283826446896063
"BDI",2000,43012.1582006809,1142272.12568226,43012.1582006809,1142272.12568226,6,4.44089209850063e-16,8.88178419700125e-16,11851.0069900365,1037.49419456051,1142272.12568227,7.105427357601e-15
"BDI",2001,41765.0615093507,1158507.89674409,41765.0615093507,1158507.89674409,6,4.44089209850063e-16,1.99840144432528e-15,11749.9101379523,1014.22788493498,1158507.89674409,1.11022302462516e-15
"BDI",2002,41025.2193903122,1193233.66069854,41025.2193903122,1193233.66069854,6,0,8.88178419700125e-16,12204.6743041074,1022.82350105364,1193233.66069855,6.43929354282591e-15
