"edf","Ref.df","Chi.sq","p-value","term","age_band"
2.51668478030701,2.98786799366215,22.3484169088864,4.23390568366488e-05,"s(pfpr_pct)","<1"
2.80354749411764,3.3722044773309,54.1459259121085,0,"s(calendar_year)","<1"
67.8891062660204,165,537.563144606988,0,"s(survey)","<1"
27.2199958715565,39,1274.75618420114,0,"s(country)","<1"
200.747085797919,1443,563.655174989638,0,"s(region)","<1"
2.31900960336382,2.83025770963603,32.1518019061938,7.20235438678163e-07,"s(pfpr_pct)","1-5"
2.9049533721167,3.46463630498347,76.1486656684463,0,"s(calendar_year)","1-5"
38.3443331800123,165,149.577871330641,0,"s(survey)","1-5"
29.4665610086778,39,668.425090111569,0,"s(country)","1-5"
5.32337787260862,1434,10.8069839726336,0,"s(region)","1-5"
3.00220925052603,3.48786762989657,153.660661341405,0,"s(pfpr_pct)","6-11"
2.41640911213033,2.90437901268596,74.0877976091324,0,"s(calendar_year)","6-11"
50.31751168604,164,255.308482003759,0,"s(survey)","6-11"
27.9045995110791,39,963.937619268237,0,"s(country)","6-11"
33.3164765801015,1432,72.7530469484576,0,"s(region)","6-11"
3.54193570477044,3.83527424128514,160.153884305354,0,"s(pfpr_pct)","12-23"
2.70308838602977,3.21528846221142,57.5980865426105,0,"s(calendar_year)","12-23"
63.5915481399933,161,589.680424910484,0,"s(survey)","12-23"
27.4787097017343,39,1293.33354178024,0,"s(country)","12-23"
121.134857830019,1402,387.483617797499,0,"s(region)","12-23"
3.68906667130192,3.91068502317739,191.004664314322,0,"s(pfpr_pct)","24-35"
1.72579580010664,2.05461214959418,40.8376996402535,0,"s(calendar_year)","24-35"
39.9404425315516,161,228.957682269484,0,"s(survey)","24-35"
28.1390997877386,39,957.41067409721,0,"s(country)","24-35"
91.1338472356504,1402,275.952597851893,0,"s(region)","24-35"
3.39886603646182,3.79257580415922,107.817177995042,0,"s(pfpr_pct)","36-47"
1.00110458812195,1.00199250365492,34.39427199666,0,"s(calendar_year)","36-47"
16.0156653727333,161,42.8531776700754,0,"s(survey)","36-47"
25.8348547512429,39,273.007311518377,0,"s(country)","36-47"
0.0848516529107976,1402,0.168885530582023,0,"s(region)","36-47"
3.30651079955193,3.72889252081795,57.6408703294271,0,"s(pfpr_pct)","48-59"
1.00026455045625,1.00048144887525,10.424218359544,0.00124540615887742,"s(calendar_year)","48-59"
15.7286398285072,161,41.8789938428852,0,"s(survey)","48-59"
18.1170407728377,39,100.297257636183,0,"s(country)","48-59"
0.000743016631254513,1402,0.00112632220568118,0,"s(region)","48-59"
