"variable","mean","sd"
"mean_maternal_age_first_birth",19.2874633125727,1.19214944589079
"mean_maternal_education_years",4.15144647716694,2.65930513207898
"mean_wealth_quintile",2.7892277926699,0.711473259017282
"urban_pct",29.7373598034923,24.8068954964485
"dtp3_pct",70.5586677108762,22.9539011938147
"measles_pct",71.1029779888792,19.5467000689113
"facility_delivery_pct",59.2728200433977,26.7452083793015
"short_birth_interval_pct",19.5261581708339,7.58571087612136
"improved_water_pct",68.398598810214,20.1050334408528
"improved_sanitation_pct",42.4085838505905,25.1808439454655
"electricity_pct",31.3742224510465,25.8403403812959
"wasting_pct",8.0347786148553,5.29139821772894
"stunting_pct",35.1202519040029,11.8767993851597
"log_hiv_incidence",0.0514743345807978,1.22808477443709
"log_gdp_pc",6.80193840159801,0.762771713432167
"log_health_expenditure_pc",3.64782879306284,0.711321046772624
"political_stability",-0.85008968211664,0.806229287576162
