"programme","records","regional_any_model_imputed","political_stability_imputed","gdp_imputed","health_expenditure_imputed","hiv_no_adolescent_series"
"DHS",6357802,558906,179937,0,63255,142323
"MICS",2440161,236942,67925,33840,197130,22826
"All",8797963,795848,247862,33840,260385,165149
