"iteration","age_band","contrast","hazard_ratio","lower_95","upper_95"
"Complete-case covariates, DHS and MICS (v5)","<1","40% to 20%",0.944339322633037,0.916201906582471,0.973340865003701
"Complete-case covariates, DHS and MICS (v5)","1-5","40% to 20%",0.9151878818572,0.878841121942613,0.953037856543267
"Complete-case covariates, DHS and MICS (v5)","6-11","40% to 20%",0.830424786425058,0.789723471073009,0.873223794364535
"Complete-case covariates, DHS and MICS (v5)","12-23","40% to 20%",0.822538891949496,0.772063967247689,0.876313696106544
"Complete-case covariates, DHS and MICS (v5)","24-35","40% to 20%",0.849589043022707,0.795136920078872,0.907770125870449
"Complete-case covariates, DHS and MICS (v5)","36-47","40% to 20%",0.843005115341907,0.78304356486136,0.907558220746563
"Complete-case covariates, DHS and MICS (v5)","48-59","40% to 20%",0.907274030632082,0.829251825513646,0.992637147526953
"Imputed covariates, DHS and MICS (v6)","<1","40% to 20%",0.939539826877166,0.912493863888715,0.967387421682466
"Imputed covariates, DHS and MICS (v6)","1-5","40% to 20%",0.9130775994969,0.87922516389652,0.948233441145168
"Imputed covariates, DHS and MICS (v6)","6-11","40% to 20%",0.824729486637687,0.786964329024591,0.864306933673495
"Imputed covariates, DHS and MICS (v6)","12-23","40% to 20%",0.843476184578186,0.794807833829022,0.89512463726373
"Imputed covariates, DHS and MICS (v6)","24-35","40% to 20%",0.863978475975026,0.81077922448259,0.920668394561407
"Imputed covariates, DHS and MICS (v6)","36-47","40% to 20%",0.857621170301132,0.799810389845467,0.91961054905875
"Imputed covariates, DHS and MICS (v6)","48-59","40% to 20%",0.947468211505969,0.869500350874482,1.03242742905334
"Complete-case covariates, DHS and MICS (v5)","<1","20% to 0%",0.946753045592884,0.899055883756947,0.996980661083933
"Complete-case covariates, DHS and MICS (v5)","1-5","20% to 0%",0.864389928822506,0.805023602990269,0.928134214045906
"Complete-case covariates, DHS and MICS (v5)","6-11","20% to 0%",0.695741284334596,0.632407271461249,0.765418040828479
"Complete-case covariates, DHS and MICS (v5)","12-23","20% to 0%",0.54383777703481,0.480062645110844,0.61608527708269
"Complete-case covariates, DHS and MICS (v5)","24-35","20% to 0%",0.473440125859019,0.414822158965225,0.540341319597139
"Complete-case covariates, DHS and MICS (v5)","36-47","20% to 0%",0.542896722802078,0.4714299949531,0.625197494399053
"Complete-case covariates, DHS and MICS (v5)","48-59","20% to 0%",0.578547089282509,0.492785737690995,0.679233810794965
"Imputed covariates, DHS and MICS (v6)","<1","20% to 0%",0.932848807498045,0.88685261264903,0.981230573422132
"Imputed covariates, DHS and MICS (v6)","1-5","20% to 0%",0.873790359840899,0.81744666601175,0.934017624264081
"Imputed covariates, DHS and MICS (v6)","6-11","20% to 0%",0.692987442575963,0.634575577265428,0.756776044923493
"Imputed covariates, DHS and MICS (v6)","12-23","20% to 0%",0.550876044013707,0.491039015673718,0.618004692461821
"Imputed covariates, DHS and MICS (v6)","24-35","20% to 0%",0.469302931540914,0.413795650074212,0.532256058064883
"Imputed covariates, DHS and MICS (v6)","36-47","20% to 0%",0.553241611219845,0.482897274576732,0.633833107990537
"Imputed covariates, DHS and MICS (v6)","48-59","20% to 0%",0.577483165977373,0.494360353498583,0.674582426821178
