"specification","outcome","n","countries","edf_total","AIC","pfpr_beta","pfpr_se","pct_change_per_10","pct_change_lo","pct_change_hi","pfpr_smooth_edf","pfpr_p","time_interaction_beta","time_interaction_se","time_interaction_edf","time_interaction_p","full_surface_edf","full_surface_p","dAIC","formula"
"linear_time_interaction","postneonatal_mortality",991,34,59.9190429576017,7663.16195636121,0.0933814217188815,0.0150086244200895,9.7880410850459,6.60545721880565,13.0656373486802,NA,4.91324184593021e-10,0.0044800734564797,0.00102926878734907,NA,1.34485884619204e-05,NA,NA,0,"deaths ~ pfpr10 + pfpr10:year_c + G + s(year_c, k = 8) + s(country,      bs = ""re"") + s(country, pfpr10, bs = ""re"") + offset(log(exposure))"
"spline_time_interaction","postneonatal_mortality",991,34,59.6522126885696,7663.47702594463,NA,NA,NA,NA,NA,2.74859223056005,0,NA,NA,1.07584757995545,0.00277752614437565,NA,NA,0.315069583421064,"deaths ~ s(pfpr10, k = 6) + ti(pfpr10, year_c, k = c(6, 6)) +      G + s(year_c, k = 8) + s(country, bs = ""re"") + s(country,      pfpr10, bs = ""re"") + offset(log(exposure))"
"spline_no_interaction","postneonatal_mortality",991,34,58.2732755707828,7667.03285254675,NA,NA,NA,NA,NA,3.13006450119043,0,NA,NA,NA,NA,NA,NA,3.87089618554,"deaths ~ s(pfpr10, k = 6) + G + s(year_c, k = 8) + s(country,      bs = ""re"") + s(country, pfpr10, bs = ""re"") + offset(log(exposure))"
"full_te_surface","postneonatal_mortality",991,34,61.5094891905145,7667.24852516287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.85805567916233,0,4.08656880166018,"deaths ~ te(pfpr10, year_c, k = c(6, 6)) + G + s(country, bs = ""re"") +      s(country, pfpr10, bs = ""re"") + offset(log(exposure))"
"linear_no_interaction","postneonatal_mortality",991,34,59.6350968652077,7676.07782880365,0.0797560051829327,0.0149761642563205,8.30227834883468,5.16945529408241,11.5284229888794,NA,1.00659353666405e-07,NA,NA,NA,NA,NA,NA,12.9158724424342,"deaths ~ pfpr10 + G + s(year_c, k = 8) + s(country, bs = ""re"") +      s(country, pfpr10, bs = ""re"") + offset(log(exposure))"
