"year","prevalence","difference","lo","hi","probability_west_higher","west_regions_at_or_above","east_regions_at_or_above"
2004,10,0.0567232860334003,-0.108393781843638,0.279472430243779,0.68975,105,129
2004,30,0.0745207716742565,-0.226339323338577,0.400758025752339,0.6625,82,68
2004,50,0.0684346935172282,-0.255713054128905,0.386392909549833,0.666,39,26
2013,10,0.0739239390768227,-0.105075137870049,0.261386228332958,0.79575,121,152
2013,30,0.159605889245523,-0.0810640721953722,0.384195320011023,0.91225,80,45
2013,50,0.209918173262791,-0.0265712884558626,0.44588315797808,0.958,28,8
2022,10,0.140264025811535,-0.0340151663413453,0.341381144078107,0.942,82,93
2022,30,0.248824900807337,-0.00350393287802189,0.49844323395951,0.97325,21,33
2022,50,0.272320148830388,-0.0177768480883429,0.55751953719748,0.9705,1,3
