"prevalence","outcome","relative_change","lo","hi"
1.11157823881681,"Post-neonatal (1 month–5 years)",0.0966146987942507,0.0691333424433616,0.124103602177095
1.13201883253751,"Post-neonatal (1 month–5 years)",0.114324158110501,0.0818034152817448,0.146855468281948
1.15283530431794,"Post-neonatal (1 month–5 years)",0.132362493372717,0.0947081243187764,0.170031027526241
1.17403456610586,"Post-neonatal (1 month–5 years)",0.150735872337204,0.107851845647322,0.193638269611518
1.19562365695148,"Post-neonatal (1 month–5 years)",0.169450580670305,0.121239038123289,0.217685338599538
1.21760974534469,"Post-neonatal (1 month–5 years)",0.188513024285153,0.134874244973182,0.242180536030911
1.24000013159536,"Post-neonatal (1 month–5 years)",0.207929731727985,0.148762095434596,0.267132324111796
1.26280225025731,"Post-neonatal (1 month–5 years)",0.227707356614792,0.162907306430227,0.292549328970138
1.28602367259693,"Post-neonatal (1 month–5 years)",0.247852680119753,0.17731468427602,0.318440343983362
1.3096721091071,"Post-neonatal (1 month–5 years)",0.268372613516377,0.191989126424486,0.344814333179078
1.33375541206748,"Post-neonatal (1 month–5 years)",0.289274200773026,0.206935623243676,0.371680434710653
1.35828157815172,"Post-neonatal (1 month–5 years)",0.31056462120358,0.222159259832888,0.399047964409616
1.38325875108275,"Post-neonatal (1 month–5 years)",0.332251192175037,0.237665217875604,0.426926419416618
1.40869522433683,"Post-neonatal (1 month–5 years)",0.354341371873024,0.253458777530868,0.455325481893176
1.4345994438973,"Post-neonatal (1 month–5 years)",0.376842762126772,0.269545319363695,0.484255022815705
1.46098001105905,"Post-neonatal (1 month–5 years)",0.399763111295082,0.285930326315476,0.513725105854679
1.48784568528446,"Post-neonatal (1 month–5 years)",0.423110317214515,0.302619385715253,0.543745991340239
1.51520538711198,"Post-neonatal (1 month–5 years)",0.446892430211321,0.319618191332971,0.574328140317082
1.54306820111807,"Post-neonatal (1 month–5 years)",0.471117656179021,0.336932545475377,0.605482218690478
1.57144337893367,"Post-neonatal (1 month–5 years)",0.495794359722623,0.354568361125729,0.637219101465991
1.60034034231615,"Post-neonatal (1 month–5 years)",0.520931067371633,0.372531664128295,0.669549877085229
1.62976868627775,"Post-neonatal (1 month–5 years)",0.546536470863246,0.390828595418657,0.702485851859835
