"horizon_months","lag_0","lag_1","lag_2"
12,"linear_time_interaction","linear_time_interaction","linear_time_interaction"
24,"linear_time_interaction","linear_time_interaction","linear_time_interaction"
36,"linear_time_interaction","linear_time_interaction","spline_time_interaction"
48,"spline_no_interaction","spline_time_interaction","spline_time_interaction"
60,"spline_no_interaction","spline_time_interaction","spline_time_interaction"
