"group","n","correlation","slope_measured_on_map","mean_difference","mean_absolute_difference","residual_sd"
"All countries, all eras",315,0.885995112975819,0.988750189128467,3.64116980459923,6.92159472758531,8.8892032110121
"All countries 2009-2012",66,0.956141131791045,1.04030790550893,-0.237700034120193,5.11020159505342,6.60769682687801
"All countries 2013-2018",125,0.877872454338105,0.982215093236566,2.46029285264418,6.07859975002391,7.84149447238604
"All countries 2019-2024",124,0.717127707325872,0.718578786865615,6.8961297106465,8.73551665453919,9.09467293574739
"West Africa, all eras",145,0.947301675661583,1.0985380161413,3.49990549165612,6.21415583373966,7.1600821765574
"West Africa 2009-2012",43,0.953644061267662,1.04941974400673,-0.740130032039859,4.87065293104699,6.56381736515091
"West Africa 2013-2018",52,0.920685041109656,0.976998720687512,4.85731861538195,5.93334831441124,7.17346800728731
"West Africa 2019-2024",50,0.841208341081438,1.09701670793541,5.73462639335981,7.66160815015693,6.78869452651698
