"year","prevalence","af","lo","hi"
2000,10,0.04512901988038,0,0.174654805809645
2000,30,0.12923593550687,0,0.347074608471007
2000,50,0.19927741869747,0,0.413910547828652
2001,10,0.0478089893934634,0,0.170086948757914
2001,30,0.139193451871768,0,0.334915973325545
2001,50,0.209193003425818,0,0.394359227028365
2002,10,0.0528697635117649,0,0.162655847883779
2002,30,0.152893567744402,0,0.33064674650059
2002,50,0.219877996545355,0.0364558102340819,0.388370746441922
2003,10,0.0607529505600378,0,0.165046563080932
2003,30,0.168150984685722,0.00401021171589097,0.33116736114412
2003,50,0.230630291861376,0.0607716364642091,0.39041219183496
2004,10,0.0699194943695667,0,0.169441570493699
2004,30,0.18324049314322,0.0295644486204906,0.335861352966129
2004,50,0.241627575347025,0.0796646655951548,0.394080235796605
2005,10,0.0790862812318952,0,0.180477264183734
2005,30,0.197979640239941,0.0519862555546752,0.34703409977626
2005,50,0.253303733426468,0.0997729509436457,0.398660868844714
2006,10,0.0877878376898395,0.00679343426689967,0.188274197793817
2006,30,0.21220983853053,0.0715761184980313,0.357714217917618
2006,50,0.265752572747588,0.117968757436498,0.404036784609768
2007,10,0.0956530034163363,0.0142856099612805,0.200878627376923
2007,30,0.225472197034808,0.0888672331828011,0.368308341505943
2007,50,0.278622437646827,0.139734092470995,0.412171914365144
2008,10,0.102369118045505,0.0204559635779318,0.211165133050503
2008,30,0.237338986767331,0.099799033393361,0.379254065132242
2008,50,0.291608461029318,0.153351245217987,0.420360287381614
2009,10,0.107614000566589,0.0235595718221885,0.217935919227986
2009,30,0.24755479457959,0.109915801520747,0.386076297570198
2009,50,0.304559296460713,0.164702522413713,0.43082964993951
2010,10,0.111167625353195,0.0253806013075311,0.220649489123483
2010,30,0.255971531187146,0.122891802344792,0.389624854319097
2010,50,0.317458357468689,0.180347014666535,0.440030229524988
2011,10,0.11324789278051,0.0256920845706078,0.215938720757322
2011,30,0.262993608717705,0.133755657363073,0.388471250965802
2011,50,0.33061727966862,0.198372209246566,0.449002781668063
2012,10,0.114636362278626,0.0260522517664884,0.214514427301202
2012,30,0.269758260834371,0.142183126273949,0.387413024042794
2012,50,0.344757169189481,0.21352256217207,0.459695869041185
2013,10,0.116137870638302,0.02642205530602,0.213848147671146
2013,30,0.277537931743712,0.151079380918347,0.392439639387492
2013,50,0.360677610417075,0.228822800298858,0.473763952646031
2014,10,0.118596460292541,0.0269506038340734,0.212950424410718
2014,30,0.287733522910778,0.159458648405493,0.403080708401949
2014,50,0.379243518725521,0.248448714060109,0.491446943033656
2015,10,0.122735896131941,0.0370202720730272,0.216964784077972
2015,30,0.301541953802598,0.176499337787021,0.415550539738799
2015,50,0.401062149432142,0.276262591200594,0.510605559284966
2016,10,0.128135845922562,0.0485944076924579,0.21979103997203
2016,30,0.317510975605699,0.195379579792616,0.431177425612679
2016,50,0.424341278709688,0.30520597943178,0.534075579065445
2017,10,0.133420129525839,0.0572705228436469,0.224985533799822
2017,30,0.332458577482027,0.209743066114599,0.450984068936517
2017,50,0.445963074719151,0.324643554705581,0.558146833817856
2018,10,0.13715058477835,0.0623069917376096,0.228156330676153
2018,30,0.343619602528952,0.220622715747603,0.467128600802605
2018,50,0.463444300816928,0.33875884380375,0.579110072740834
2019,10,0.137926592065906,0.0633630250102887,0.231317738932565
2019,30,0.348578085068903,0.223901652402384,0.476555579208333
2019,50,0.474793906484892,0.346166243784028,0.59601987938259
2020,10,0.134569734945286,0.0606344548837229,0.231952082405065
2020,30,0.345236673879889,0.224548528034523,0.469669201622643
2020,50,0.478402320437944,0.346890218300546,0.59596537521299
2021,10,0.127258805547318,0.0508487445645951,0.227386145549312
2021,30,0.333814709849829,0.208900393433621,0.454253054985022
2021,50,0.474735943967173,0.337675939084744,0.587964471155355
2022,10,0.116833828951027,0.0265146508917897,0.224520621931521
2022,30,0.315357254736122,0.181952140462865,0.443664157046145
2022,50,0.464900452369642,0.316789795977638,0.584972852328604
2023,10,0.104833707323135,0,0.2251837028981
2023,30,0.290870768040362,0.112230717601799,0.444824820833344
2023,50,0.449847025500564,0.262288742382783,0.590672377623068
2024,10,0.0943977632331839,0,0.23185360347964
2024,30,0.263168836721259,0.00602888793133706,0.452592917288366
2024,50,0.430938938433932,0.179375350774426,0.600057741280587
