"region_group","n","correlation","z","era"
"West Africa",404,0.461433210703589,0.499130683526829,"all"
"Central Africa",191,0.213199867815571,0.216521206170883,"all"
"East & Southern",438,0.279073893665155,0.286677465092958,"all"
"West Africa",117,0.453587295869619,0.489207609341171,"2000-2008"
"West Africa",127,0.572620698926008,0.651413414929742,"2009-2016"
"West Africa",160,0.372311027426473,0.391103350894275,"2017-2024"
"East & Southern",168,0.199823655002872,0.202548868095029,"2000-2008"
"East & Southern",136,0.34797021769818,0.36313247913601,"2009-2016"
"East & Southern",134,0.334083938194788,0.347418258704517,"2017-2024"
