"sample","specification","n","countries","AIC","pfpr_smooth_edf","pct_change_per_10","pct_change_lo","pct_change_hi","pfpr_p","af10","af30","af50"
"primary_pfpr_ge_1","linear_time_interaction",991,34,7658.54606427427,NA,9.99134753355144,6.75881674703422,13.3217555315644,3.91541452372324e-10,0.0821381282004937,0.24131712013289,0.372890704050094
"include_sub_1_percent","linear_time_interaction",1001,34,7711.12783977754,NA,9.84685744227329,6.62029765130594,13.1710598802227,6.64410601927705e-10,0.0810515982124809,0.238419434391805,0.36883838441431
"restricted_pfpr_5_to_40","linear_time_interaction",611,32,4745.4934477709,NA,12.8705283377299,7.66883949436357,18.3235207797073,4.91661190342353e-07,0.103237378556809,0.296091220529545,0.447470759855958
"complete_case_covariates","linear_time_interaction",926,32,7067.5917549684,NA,10.6607113962266,7.27953896894684,14.1484495963729,1.57108137592536e-10,0.0871364045427822,0.254549221945406,0.39125969611717
