"specification","neonatal_covariate","n","AIC","deviance_explained","nb_theta","pct_change_per_10","pct_change_lo","pct_change_hi","pfpr_p","time_interaction_beta","time_interaction_p","af10","af30","af50","af30_lo","af30_hi","neonatal_pct_per_sd","neonatal_p"
"linear_time_interaction","none",1055,8147.55038289664,0.623232532261532,7.61908259880203,9.04030439475287,6.3896502009223,11.7569985430527,5.46102726329886e-12,0.00476523905102934,0.000349728121628051,0.0749362766050607,0.221967856149776,0.345629926290235,0.16441276808568,0.27555856080117,NA,NA
"linear_time_interaction","m12",1055,8133.48253201332,0.628099164910528,7.73707205601812,9.00595456235393,6.38026539039691,11.6964512773494,4.15367817782066e-12,0.00466558727726875,0.000422764953320572,0.0746739262128603,0.221256642730569,0.344618903897039,0.164198976489624,0.274419150691868,6.00943183911251,6.75927893848013e-05
"linear_time_interaction","m60",1055,8118.84691127115,0.634742191526942,7.95456593183723,8.66595156436982,6.07531645363273,11.31985672229,1.46976020749764e-11,0.00482810771885568,0.000222949739598137,0.0720686204622396,0.214169489560929,0.334509420896459,0.157211840665332,0.267277803683864,9.96428771877791,3.54564526816758e-09
"linear_no_interaction","none",1055,8150.7871098373,0.620676761587862,7.53843624814982,6.91625647260699,4.51880521147738,9.36870044569749,7.48477045107249e-09,NA,NA,0.0584126173491533,0.176292269130783,0.279414275939475,0.120296876309471,0.228723409498313,NA,NA
"linear_no_interaction","m12",1055,8138.17298212426,0.625854985127615,7.66464100546623,6.91928266990471,4.54424664972788,9.34827475440747,5.29973535111188e-09,NA,NA,0.0584366026382317,0.17635987753187,0.279514206648088,0.120917567020203,0.228305530984367,6.10010391121987,5.67364638275459e-05
"linear_no_interaction","m60",1055,8120.85132124076,0.632176393169156,7.86704651613602,6.53959074992283,4.19312459251375,8.9389001582604,2.47468353060446e-08,NA,NA,0.0554171020841957,0.16781855184692,0.266844694967275,0.11229897765927,0.219865759730598,9.90811337334945,5.21044914326927e-09
