"variable","label","level","estimate","std_error","pct_change","pct_change_lo","pct_change_hi","p_value"
"pct_urban","Urban residence","survey-region",0.0218750332992967,0.0172318412301163,2.21160460190712,-1.18288579251671,5.72269995014127,0.204279114116347
"dtp3_reg","DTP3 coverage (DHS region)","survey-region",-0.0753225907654294,0.022726901816814,-7.25557468852933,-11.2961877387727,-3.03090468057912,0.00091889939744511
"measles","Measles vaccination","survey-region",0.0420608361496814,0.0211930256459309,4.2957926365309,0.05226424136342,8.71930229826074,0.0471829115246681
"facility","Facility delivery","survey-region",-0.0754867542073326,0.0223041657952658,-7.27079868295994,-11.2372334179562,-3.12712066102258,0.000713277601683797
"educ_yrs","Maternal education","survey-region",-0.012343183063871,0.025606548035915,-1.22673184375862,-6.06170140943471,3.8570918213823,0.629783006150818
"excl_bf","Exclusive breastfeeding","survey-region",0.019235427118524,0.016928220190213,1.94216198629555,-1.38471187827046,5.38127087974545,0.25583373664632
"birth_int","Birth interval <24 months","survey-region",0.0904142634535357,0.0170592803252188,9.46276540236413,5.86325985797247,13.1846593956047,1.15799790810971e-07
"mage1","Maternal age at first birth","survey-region",-0.108100679977687,0.0166305906825206,-10.2462772146716,-13.1247181433607,-7.27246482930478,8.02609438733161e-11
"imp_water","Improved water","survey-region",-0.0428100254936806,0.0161658704141836,-4.1906613902788,-7.17880069570159,-1.10632664054441,0.00809280410276623
"imp_sanit","Improved sanitation","survey-region",-0.0291873409298669,0.016206323934696,-2.87655045514816,-5.91313510865662,0.258037744004747,0.0717052965779494
"elec_dhs","Household electricity","survey-region",-0.0270277931006257,0.0227607562688167,-2.6665810826658,-6.9133005896601,1.7738785256032,0.235040934661791
"hib3_wuenic","Hib3 coverage (WUENIC)","national-exact-year",-0.0439841670307141,0.0242200850907218,-4.30308909843901,-8.73981048195849,0.349328710202279,0.0693672528996226
"pcv3_wuenic","PCV completion (WUENIC)","national-exact-year",-0.0777280920501928,0.0259765712860651,-7.47840340793663,-12.07114564778,-2.64577084497879,0.00276939975544843
"rotac_wuenic","Rotavirus completion (WUENIC)","national-exact-year",-0.0178366752812451,0.024199031932546,-1.76785433670491,-6.31824921408359,3.00356644343887,0.461072373446083
"log_hiv_prev","Child HIV prevalence (log, UNAIDS)","national-exact-year",0.125974503420191,0.0324955571760557,13.4253248335876,6.42637136190138,20.8845528506895,0.000105896474586114
"log_gdp","GDP per capita","national-nearest-year",-0.0204148420244746,0.0366623876577645,-2.02078699638196,-8.81439322694849,5.27896364939762,0.577641260499926
"log_hexp_pc","Health expenditure per capita","national-nearest-year",-0.0483439261607763,0.036134115472249,-4.71939642022407,-11.2340266559969,2.27334953388116,0.180928197421658
"polstab","polstab","national-nearest-year",0.0304001257016376,0.0190469419839526,3.08669277961064,-0.690791052053252,7.00786302514942,0.110474654116682
