"split","subset","region","era","n","surveys","countries","prevalence","af","lo","hi","divergent_transitions","max_rhat","min_ess"
"reference","all data","Both regions","All years",1055,118,35,10,-0.0192221356343695,-0.137660049877803,0.0607541792761172,0,1.00491079565976,1085.25921433145
"reference","all data","Both regions","All years",1055,118,35,30,0.0434651704864754,-0.0860942882786905,0.167929976976784,0,1.00491079565976,1085.25921433145
"reference","all data","Both regions","All years",1055,118,35,50,-0.00290851264087232,-0.175060311840594,0.142580860489814,0,1.00491079565976,1085.25921433145
"era","before 2013","Both regions","before 2013",536,66,32,10,0.00668173768435094,-0.0782993557202511,0.101276302810855,0,1.00846265353723,811.685647422625
"era","before 2013","Both regions","before 2013",536,66,32,30,0.0227569757050515,-0.134517499463246,0.203661380693341,0,1.00846265353723,811.685647422625
"era","before 2013","Both regions","before 2013",536,66,32,50,-0.0312131037873862,-0.233651876792718,0.151685544417595,0,1.00846265353723,811.685647422625
"era","2013 onwards","Both regions","2013 onwards",519,52,29,10,-0.00844286517848085,-0.179657110397415,0.102069384987793,0,1.0035881908343,1152.20881809172
"era","2013 onwards","Both regions","2013 onwards",519,52,29,30,0.0979142231940025,-0.0935943917338928,0.253863628415227,0,1.0035881908343,1152.20881809172
"era","2013 onwards","Both regions","2013 onwards",519,52,29,50,0.148199713141193,-0.0886453746082589,0.339600900404876,0,1.0035881908343,1152.20881809172
"region","West","West","All years",413,51,14,10,-0.0888623985535125,-0.31507865466115,0.0493518657873008,0,1.0096064291546,643.679773090654
"region","West","West","All years",413,51,14,30,-0.0538337202361856,-0.341335218793851,0.19614366085616,0,1.0096064291546,643.679773090654
"region","West","West","All years",413,51,14,50,-0.183665958088036,-0.58655803404359,0.125573241674182,0,1.0096064291546,643.679773090654
"region","Central & East","Central & East","All years",642,67,21,10,-0.00658908320348437,-0.0971580807886721,0.0656464733909634,0,1.00477020109569,878.251087733186
"region","Central & East","Central & East","All years",642,67,21,30,-0.00128843178675997,-0.149229410328785,0.13424873476011,0,1.00477020109569,878.251087733186
"region","Central & East","Central & East","All years",642,67,21,50,-0.010747200679909,-0.208836530386038,0.162919310496462,0,1.00477020109569,878.251087733186
"era x region","West, before 2013","West","before 2013",212,25,11,10,-0.00184282374213014,-0.178816264374085,0.158803478335335,0,1.00239904727693,970.034214864457
"era x region","West, before 2013","West","before 2013",212,25,11,30,0.0235266540534298,-0.315991004332,0.355565990288276,0,1.00239904727693,970.034214864457
"era x region","West, before 2013","West","before 2013",212,25,11,50,-0.107275593031907,-0.581577782807044,0.258414608350592,0,1.00239904727693,970.034214864457
"era x region","Central & East, before 2013","Central & East","before 2013",324,41,21,10,0.0200529436215957,-0.0729312021889233,0.146047025178182,0,1.00355935709996,830.870083650512
"era x region","Central & East, before 2013","Central & East","before 2013",324,41,21,30,0.0260422125906605,-0.188487521163122,0.255234744688466,0,1.00355935709996,830.870083650512
"era x region","Central & East, before 2013","Central & East","before 2013",324,41,21,50,-0.011288758674982,-0.310672819103176,0.240519532299041,0,1.00355935709996,830.870083650512
"era x region","West, 2013 onwards","West","2013 onwards",201,26,13,10,-0.0448125418535002,-0.263512847155869,0.126321830776146,0,1.0024317577701,1021.10138748072
"era x region","West, 2013 onwards","West","2013 onwards",201,26,13,30,-0.12046617860648,-0.542803689437409,0.212319731561443,0,1.0024317577701,1021.10138748072
"era x region","West, 2013 onwards","West","2013 onwards",201,26,13,50,-0.269263242914982,-0.857951883017015,0.15455925857804,0,1.0024317577701,1021.10138748072
"era x region","Central & East, 2013 onwards","Central & East","2013 onwards",318,26,16,10,-0.0661706193933875,-0.305259776950768,0.0940585731609643,0,1.00578320906646,794.903212891597
"era x region","Central & East, 2013 onwards","Central & East","2013 onwards",318,26,16,30,-0.00277507909027174,-0.320360418696116,0.254303416726814,0,1.00578320906646,794.903212891597
"era x region","Central & East, 2013 onwards","Central & East","2013 onwards",318,26,16,50,0.221241657326767,-0.080986829798342,0.448655534780101,0,1.00578320906646,794.903212891597
