"grouping","age_group","sensitivity","cells","af10","af10_lo","af10_hi","af30","af30_lo","af30_hi","af50","af50_lo","af50_hi"
"four groups","0-3 months","primary (NB, windows 1-5, lag 0)",10464,0.0253263149741633,-0.00965403812316756,0.0590947429401012,0.0880368660587418,0.0218055357776995,0.149783823067151,0.122692423141082,0.0533250277242676,0.186976938279204
"four groups","0-3 months","windows 1-4 only",8592,0.0240894520299353,-0.0121996660870223,0.0590775421601941,0.0807901841780193,0.0100990877093055,0.14643306717617,0.11077136483856,0.0350098539979643,0.180584828905175
"four groups","0-3 months","window 1 only (12 months before interview)",2234,0.0234678470162635,-0.0309654861592903,0.07502718702679,0.0761538612660547,-0.0302335172332981,0.171555114664023,0.0804698069252079,-0.0425855865841827,0.189001088393723
"four groups","0-3 months","prevalence lagged one year",8698,0.0314170431720929,-0.00513966434256985,0.0666441913113562,0.0923695714450934,0.0225757883291298,0.157179671833052,0.111197143915445,0.0364196965048444,0.180171580802727
"four groups","0-3 months","Poisson likelihood",10464,0.0237097584375893,-0.00850763013784661,0.0548979429737075,0.0845807405433463,0.025656200330632,0.139941752727804,0.110051940065849,0.0495062331270137,0.166740932992995
"four groups","0-3 months","no survey intercept",10464,0.0250901190018352,-0.00602040030388307,0.0552385659567551,0.0842781412410563,0.022962506292899,0.141745810155862,0.124200075429017,0.0585263391802968,0.185292653635449
"four groups","3-12 months","primary (NB, windows 1-5, lag 0)",15696,0.0912190347906277,0.0438222559447708,0.136266402495167,0.238905491622657,0.15738945708695,0.312535482075111,0.31588008047698,0.2367850138584,0.386778204324527
"four groups","3-12 months","windows 1-4 only",12888,0.0969754344673183,0.0450308926555656,0.146094507472508,0.251815612549543,0.163471581373994,0.330829813834596,0.325990271059499,0.240050351908564,0.402211559874571
"four groups","3-12 months","window 1 only (12 months before interview)",3351,0.115230980862247,0.0256006628277531,0.196616636154791,0.315367722023878,0.182643487448521,0.426539889449706,0.39016084531403,0.262323755925541,0.495844149007786
"four groups","3-12 months","prevalence lagged one year",13047,0.0889466112997138,0.0355131014213297,0.139419852892307,0.23923454028396,0.14970659751371,0.319336028005592,0.310083234057554,0.223809676445251,0.386767485391217
"four groups","3-12 months","Poisson likelihood",15696,0.104764943350733,0.063101433503061,0.14457569334275,0.256410427771383,0.186604840748183,0.320225298075619,0.330042084450834,0.263634944576898,0.390460471607951
"four groups","3-12 months","no survey intercept",15696,0.0717001469438718,0.0231171220842196,0.1178670067157,0.205074661436896,0.121725854673156,0.280513610412037,0.291727427897493,0.21257232339708,0.362925572343489
"four groups","1-2 years","primary (NB, windows 1-5, lag 0)",5232,0.265043815879992,0.202025470285106,0.323085421323866,0.490253673370241,0.410154336926626,0.559475751404805,0.502644012775437,0.424109914382943,0.570468420613502
"four groups","1-2 years","windows 1-4 only",4296,0.24725106421073,0.177649130068797,0.310962046675669,0.466506676374016,0.374960671396276,0.544644451431078,0.480957611366548,0.391013200607136,0.557617666808368
"four groups","1-2 years","window 1 only (12 months before interview)",1117,0.206335493801909,0.0755157081200991,0.318643535718949,0.458002206694674,0.301188788064862,0.579626653192409,0.482867733153063,0.327558716981155,0.602306122233192
"four groups","1-2 years","prevalence lagged one year",4349,0.253247117377898,0.18543435152172,0.315414455856117,0.472451338578255,0.384399675714208,0.547908636190596,0.481319170592029,0.394199636452473,0.555910133133761
"four groups","1-2 years","Poisson likelihood",5232,0.274484656274177,0.220974731050716,0.32431907543699,0.507928057922053,0.441753285539596,0.56625844826618,0.520163922025883,0.456000238701084,0.576759627291326
"four groups","1-2 years","no survey intercept",5232,0.240110232340186,0.178091377492079,0.297449323220208,0.45438779508336,0.372097257707335,0.525893648645281,0.482921684324071,0.403726285491599,0.551598572875732
"four groups","2-5 years","primary (NB, windows 1-5, lag 0)",15696,0.284977206791875,0.235065071909412,0.331632566336933,0.499202989716281,0.43708523984162,0.554466034185091,0.477661023072406,0.412444742206563,0.535638557907884
"four groups","2-5 years","windows 1-4 only",12888,0.276954665065451,0.220598891316967,0.329235549518284,0.484668479716874,0.412816443321506,0.547728180094923,0.466563803538436,0.391656913544773,0.532247210445904
"four groups","2-5 years","window 1 only (12 months before interview)",3351,0.269219457586816,0.158404264961592,0.365443313296574,0.469988758051374,0.329317753341381,0.581154983613409,0.487488501070556,0.346914502602985,0.597804517813036
"four groups","2-5 years","prevalence lagged one year",13047,0.260136749808365,0.204855435600671,0.311574707930441,0.464368651361407,0.392927192639765,0.527402746151744,0.453607894361185,0.380103609451993,0.518396400339586
"four groups","2-5 years","Poisson likelihood",15696,0.269111210841287,0.225417224256703,0.310340432492488,0.496191757974824,0.442198260851255,0.544958850218261,0.494647737990645,0.440443263371171,0.543601404467812
"four groups","2-5 years","no survey intercept",15696,0.272024746702457,0.223507781889312,0.317510263395738,0.477941493040942,0.416162632838905,0.533183211596117,0.464312515261237,0.400123382632176,0.521633160890837
"neonatal split","0 months","primary (NB, windows 1-5, lag 0)",5232,0.0230439632807476,-0.0149325008553529,0.0595994345655353,0.0752020346937482,0.00236948134907844,0.142717408253383,0.0853144394385703,0.00684122359757167,0.157587190911994
"neonatal split","0 months","windows 1-4 only",4296,0.0217171992290877,-0.0166813097282132,0.0586654548218037,0.0635339087997844,-0.0132051461842182,0.134460831283261,0.0652351123940175,-0.0202375921287894,0.143547148387448
"neonatal split","0 months","window 1 only (12 months before interview)",1117,0.035849243573815,-0.0309792888284162,0.0983459210188907,0.0990919574203251,-0.0228818142705256,0.206520939309529,0.0752789487839857,-0.0650676391695089,0.197131720921663
"neonatal split","0 months","prevalence lagged one year",4349,0.0230919452396253,-0.0173278033960054,0.0619057650150461,0.0670309769749269,-0.0109535297333274,0.138999793438612,0.0641700838677625,-0.0208944424325384,0.142146733758968
"neonatal split","0 months","Poisson likelihood",5232,0.0219839076857397,-0.0136111252018143,0.0563289480122767,0.0762845156887909,0.0104786247839281,0.137714133997383,0.0841268184835988,0.0150330754394562,0.148373753773278
"neonatal split","0 months","no survey intercept",5232,0.0180573635128349,-0.0096774881787558,0.0450303659928106,0.0533858747776763,-0.0075672865342864,0.110651651709881,0.0708158488503499,-0.0015354254844504,0.137940441467589
"neonatal split","1-2 months","primary (NB, windows 1-5, lag 0)",5232,0.0449613833886321,0.0216319596032093,0.0677345113920105,0.128910053332447,0.0635172691318797,0.189736585444694,0.205475274397368,0.103618932757701,0.29575761619327
"neonatal split","1-2 months","windows 1-4 only",4296,0.045340348007642,0.0198711312701251,0.0701477323862536,0.129946997061748,0.0584565377492237,0.196009256851228,0.207050062480096,0.0955350080081755,0.304815986268153
"neonatal split","1-2 months","window 1 only (12 months before interview)",1117,0.0275738838019681,-0.00842242483408495,0.0622852802786796,0.0804623015541086,-0.0254758156702923,0.175456343345863,0.13047507767009,-0.0428134927412629,0.274967579710412
"neonatal split","1-2 months","prevalence lagged one year",4349,0.0445888198302158,0.0197479852955714,0.0688001559796273,0.127877413575694,0.0581629364722679,0.192431647462953,0.203863945789534,0.0951136037927626,0.299544540098657
"neonatal split","1-2 months","Poisson likelihood",5232,0.0446437763941243,0.023860203871738,0.0649848335221925,0.1280422374993,0.0699264736898755,0.182526630338998,0.20415232294324,0.113846445026482,0.285255335802868
"neonatal split","1-2 months","no survey intercept",5232,0.0527528953183969,0.0117562350503779,0.0920488353666257,0.14930791217648,0.0586188135465001,0.231260366470807,0.223970573257104,0.114703449909379,0.319751476373353
"neonatal split","3-11 months","primary (NB, windows 1-5, lag 0)",15696,0.0912190347906277,0.0438222559447708,0.136266402495167,0.238905491622657,0.15738945708695,0.312535482075111,0.31588008047698,0.2367850138584,0.386778204324527
"neonatal split","3-11 months","windows 1-4 only",12888,0.0969754344673183,0.0450308926555656,0.146094507472508,0.251815612549543,0.163471581373994,0.330829813834596,0.325990271059499,0.240050351908564,0.402211559874571
"neonatal split","3-11 months","window 1 only (12 months before interview)",3351,0.115230980862247,0.0256006628277531,0.196616636154791,0.315367722023878,0.182643487448521,0.426539889449706,0.39016084531403,0.262323755925541,0.495844149007786
"neonatal split","3-11 months","prevalence lagged one year",13047,0.0889466112997138,0.0355131014213297,0.139419852892307,0.23923454028396,0.14970659751371,0.319336028005592,0.310083234057554,0.223809676445251,0.386767485391217
"neonatal split","3-11 months","Poisson likelihood",15696,0.104764943350733,0.063101433503061,0.14457569334275,0.256410427771383,0.186604840748183,0.320225298075619,0.330042084450834,0.263634944576898,0.390460471607951
"neonatal split","3-11 months","no survey intercept",15696,0.0717001469438718,0.0231171220842196,0.1178670067157,0.205074661436896,0.121725854673156,0.280513610412037,0.291727427897493,0.21257232339708,0.362925572343489
"neonatal split","12-23 months","primary (NB, windows 1-5, lag 0)",5232,0.265043815879992,0.202025470285106,0.323085421323866,0.490253673370241,0.410154336926626,0.559475751404805,0.502644012775437,0.424109914382943,0.570468420613502
"neonatal split","12-23 months","windows 1-4 only",4296,0.24725106421073,0.177649130068797,0.310962046675669,0.466506676374016,0.374960671396276,0.544644451431078,0.480957611366548,0.391013200607136,0.557617666808368
"neonatal split","12-23 months","window 1 only (12 months before interview)",1117,0.206335493801909,0.0755157081200991,0.318643535718949,0.458002206694674,0.301188788064862,0.579626653192409,0.482867733153063,0.327558716981155,0.602306122233192
"neonatal split","12-23 months","prevalence lagged one year",4349,0.253247117377898,0.18543435152172,0.315414455856117,0.472451338578255,0.384399675714208,0.547908636190596,0.481319170592029,0.394199636452473,0.555910133133761
"neonatal split","12-23 months","Poisson likelihood",5232,0.274484656274177,0.220974731050716,0.32431907543699,0.507928057922053,0.441753285539596,0.56625844826618,0.520163922025883,0.456000238701084,0.576759627291326
"neonatal split","12-23 months","no survey intercept",5232,0.240110232340186,0.178091377492079,0.297449323220208,0.45438779508336,0.372097257707335,0.525893648645281,0.482921684324071,0.403726285491599,0.551598572875732
"neonatal split","24-59 months","primary (NB, windows 1-5, lag 0)",15696,0.284977206791875,0.235065071909412,0.331632566336933,0.499202989716281,0.43708523984162,0.554466034185091,0.477661023072406,0.412444742206563,0.535638557907884
"neonatal split","24-59 months","windows 1-4 only",12888,0.276954665065451,0.220598891316967,0.329235549518284,0.484668479716874,0.412816443321506,0.547728180094923,0.466563803538436,0.391656913544773,0.532247210445904
"neonatal split","24-59 months","window 1 only (12 months before interview)",3351,0.269219457586816,0.158404264961592,0.365443313296574,0.469988758051374,0.329317753341381,0.581154983613409,0.487488501070556,0.346914502602985,0.597804517813036
"neonatal split","24-59 months","prevalence lagged one year",13047,0.260136749808365,0.204855435600671,0.311574707930441,0.464368651361407,0.392927192639765,0.527402746151744,0.453607894361185,0.380103609451993,0.518396400339586
"neonatal split","24-59 months","Poisson likelihood",15696,0.269111210841287,0.225417224256703,0.310340432492488,0.496191757974824,0.442198260851255,0.544958850218261,0.494647737990645,0.440443263371171,0.543601404467812
