"region","era","surveys","regions","median_prevalence","pct_at_or_above_30","pct_at_or_above_50"
"West","before 2013",25,212,37.6501024917702,62.2641509433962,28.3018867924528
"Central & East","before 2013",41,324,15.2947269221158,29.320987654321,10.1851851851852
"West","2013 onwards",26,201,20.1397275781244,25.3731343283582,3.98009950248756
"Central & East","2013 onwards",26,318,11.3412242115004,16.0377358490566,1.25786163522013
