"period","n","countries","pfpr_min","pfpr_max","median_mortality","smooth_edf","smooth_p","pct_change_per_10","lo","hi","af10","af30"
"2000-2006",180,21,1.56082228970738,81.2009432892331,93.075,1.62210430714031,0.0048281497933495,7.03622947887192,2.52924667475447,11.741330328868,7.33078324414774,21.5885384394265
"2007-2012",209,25,1.71048818328173,79.0635256346876,57.89,1.08174520772247,0.000329984783804693,9.21289173044617,4.28131000284624,14.3776935656122,7.9129473077832,23.0983699944282
"2013-2018",219,21,1.17292601870845,57.84324405752,47.41,1.00012481448151,1.83558592004029e-06,13.0103443569411,7.56724476773274,18.7288747541247,10.4227901280436,29.8588930997201
"2019-2024",264,20,1.12551205971302,60.8101962286001,31.88,4.24897309241914,0,16.0635196120847,8.45542956667829,24.2053130817482,46.7506159797336,65.4521024954932
