"sample","n","pearson","spearman","pearson_log","reliability_neonatal","reliability_postneonatal","pearson_disattenuated","ols_slope"
"all regions, 12-month window",1128,0.263397894532054,0.288108363761934,0.11571240617242,0.244568910795221,0.791574120748528,0.598640204830161,0.698407055116866
"all regions, 60-month window",1128,0.503543134223893,0.483083743301499,0.465324073172658,0.567604662284877,0.926686679186566,0.694300122073432,1.79744560410226
"main sample, 12-month window",1055,0.236285319398192,0.256010935959655,0.257362972239774,NA,NA,NA,0.653640713881392
