"svkey","iso3","year","region_var","n_boundary","n_recode","matched_exact","matched_prefix","unmatched_recode","unmatched_boundary","dropped_recode_regions","dropped_boundary_regions"
"CI62FL","CIV",2012,"v024",11,11,0,0,11,11,"centre; centreest; centrenord; centreouest; nord; nordest; nordouest; ouest; sudouest; sudsansabidjan; villedabidjan","abidjan; central; eastcentral; north; northcentral; northeast; northwest; south; southwest; west; westcentral"
"CM44FL","CMR",2004,"v024",12,12,4,0,8,8,"adamaoua; est; extremenor; nord; nordouest; ouest; sud; sudouest","adamawa; east; farnorth; north; northwest; south; southwest; west"
"CM61FL","CMR",2011,"v024",12,12,4,0,8,8,"adamaoua; est; extremenord; nord; nordouest; ouest; sud; sudouest","adamawa; east; farnorth; north; northwest; south; southwest; west"
"TZ4IFL","TZA",2004,"v024",8,26,0,0,26,8,"arusha; daressalam; dodoma; iringa; kagera; kigoma; kilimanjaro; lindi; manyara; mara; mbeya; morogoro; mtwara; mwanza; pembanorth; pembasouth; pwani; rukwa; ruvuma; shinyanga; singida; tabora; tanga; townwest; zanzibarnorth; zanzibasouth","central; eastern; lake; northern; southern; southernhighlands; western; zanzibar"
"MR71FL","MRT",2020,"v024",13,14,7,0,7,6,"dakhletnouadhibou; hodhechargui; hodhgharbi; nouakchottnord; nouakchottouest; nouakchottsud; tiriszemouretinchiri","easternbasinregion; northnouakchott; southnouakchott; tiriszemourandinchiri; westernbasinregion; westnouakchott"
"RW5AFL","RWA",2008,"v024",5,5,0,0,5,5,"est; nord; ouest; sud; villedekigali","cityofkigali; east; north; south; west"
"AO81FL","AGO",2023,"v024",18,18,14,0,4,4,"cuanzanorte; cuanzasul; lundanorte; lundasul","northcuanza; northlunda; southcuanza; southlunda"
"ML6AFL","MLI",2012,"v024",10,6,6,0,0,4,"","gao; kidal; moptinotsurveyed; tombouctou"
"SN6DFL","SEN",2012,"v024",4,14,0,0,14,4,"dakar; diourbel; fatick; kaffrine; kaolack; kedougou; kolda; louga; matam; saintlouis; sedhiou; tambacounda; thies; ziguinchor","center; north; south; west"
"SN71FL","SEN",2014,"v024",4,14,0,0,14,4,"dakar; diourbel; fatick; kaffrine; kaolack; kedougou; kolda; louga; matam; saintlouis; sedhiou; tambacounda; thies; ziguinchor","center; north; south; west"
"SN7AFL","SEN",2015,"v024",4,14,0,0,14,4,"dakar; diourbel; fatick; kaffrine; kaolack; kedougou; kolda; louga; matam; saintlouis; sedhiou; tambacounda; thies; ziguinchor","center; north; south; west"
"SN81FL","SEN",2018,"v024",4,14,0,0,14,4,"dakar; diourbel; fatick; kaffrine; kaolack; kedougou; kolda; louga; matam; saintlouis; sedhiou; tambacounda; this; ziguinchor","center; north; south; west"
"SN8BFL","SEN",2019,"v024",4,14,0,0,14,4,"dakar; diourbel; fatick; kaffrine; kaolack; kedougou; kolda; louga; matam; saintlouis; sedhiou; tambacounda; this; ziguinchor","center; north; south; west"
"ST51FL","STP",2008,"v024",4,4,0,0,4,4,"regiaocentro; regiaodoprincipe; regiaonorte; regiaosul","central; north; principe; south"
"AO62FL","AGO",2011,"v024",4,4,1,0,3,3,"hiperendemica; mesoendemicaestavel; mesoendemicainstavel","hyperendemic; mesoendemicstable; mesoendemicunstable"
"ET51FL","ETH",2005,"v024",11,11,8,0,3,3,"addisabeba; afar; bengumz","addisababa; affar; benishangulgumuz"
"ET71FL","ETH",2016,"v024",11,11,6,2,3,3,"addisadaba; afar; oromia","addisababa; affar; oromiya"
"UG7BFL","UGA",2016,"v024",15,15,12,0,3,3,"bugisu; northbuganda; southbuganda","bugishu; central1; central2"
"BF62FL","BFA",2010,"v024",13,13,11,0,2,2,"boucledemouhoun; hautsbasins","boucledumouhoun; hautsbassins"
"BJ41FL","BEN",2001,"v024",6,6,1,3,2,2,"oueme; zou","quemeplateau; zoucollines"
"CG51FL","COG",2005,"v024",4,4,2,0,2,2,"nord; sud","north; south"
"KM61FL","COM",2012,"v024",3,3,1,0,2,2,"moheli; ndzouani","mwali; ndzuwani"
"MZ41FL","MOZ",2003,"v024",11,11,9,0,2,2,"maputocidade; maputoprovincia","maputo; maputocity"
"MZ62FL","MOZ",2011,"v024",11,11,9,0,2,2,"maputocidade; maputoprovincia","maputo; maputocity"
