"svkey","iso3","year","region_var","n_boundary","n_recode","matched_exact","matched_prefix","unmatched_recode","unmatched_boundary","dropped_recode_regions","dropped_boundary_regions"
"TG61FL","TGO",2013,"v024",6,6,4,0,2,2,"grandeagglomerationdelome; maritimesansagglomerationdelome","greaterlomearea; maritimeexcludinggreaterlomearea"
"ZW52FL","ZWE",2005,"v024",10,10,8,0,2,2,"matebelelandnorth; matebelelandsouth","matabelelandnorth; matabelelandsouth"
"BF43FL","BFA",2003,"v024",14,14,12,1,1,1,"boucledemouhoun","boucledumouhoun"
"BJ51FL","BEN",2006,"v024",12,12,11,0,1,1,"queme","oueme"
"BU61FL","BDI",2010,"v024",5,5,3,1,1,1,"centreeast","centraleast"
"ET41FL","ETH",2000,"v024",11,11,9,1,1,1,"bengumz","benishangulgumuz"
"ET81FL","ETH",2019,"v024",11,11,9,1,1,1,"addisadaba","addisababa"
"GA61FL","GAB",2012,"v024",10,10,9,0,1,1,"librevilleportgentil","libervilleportgentil"
"GA71FL","GAB",2019,"v024",11,11,10,0,1,1,"libreville","liberville"
"MD42FL","MDG",2004,"v024",6,6,5,0,1,1,"toliary","toliara"
"MD51FL","MDG",2008,"v024",22,22,21,0,1,1,"anamoroniimania","amoronimania"
"ML41FL","MLI",2001,"v024",7,9,6,0,3,1,"gao; kidal; tombouctou","kidalgaotimbouctou"
"ML7AFL","MLI",2018,"v024",9,9,8,0,1,1,"toumbouctou","tombouctou"
"MZ81FL","MOZ",2022,"v024",11,11,10,0,1,1,"cidadedemaputo","maputocity"
"NM61FL","NAM",2013,"v024",11,13,10,0,3,1,"caprivi; hardap; karas","zambezi"
"RW41FL","RWA",2000,"v024",12,12,10,1,1,1,"kigalivillepvk","kigalicity"
"RW61FL","RWA",2010,"v024",5,5,4,0,1,1,"kigalicity","cityofkigali"
"RW70FL","RWA",2015,"v024",5,5,4,0,1,1,"kigalicity","cityofkigali"
"SN4AFL","SEN",2005,"v024",11,11,10,0,1,1,"zuguinchor","ziguinchor"
"SN7IFL","SEN",2016,"szone",4,4,3,0,1,1,"central","center"
"AO71FL","AGO",2015,"v024",18,18,18,0,0,0,"",""
"BF81FL","BFA",2021,"v024",13,13,13,0,0,0,"",""
"BJ61FL","BEN",2012,"v024",12,12,12,0,0,0,"",""
"BJ71FL","BEN",2017,"v024",12,12,12,0,0,0,"",""
"BU71FL","BDI",2016,"v024",18,18,18,0,0,0,"",""
"CD51FL","COD",2007,"v024",11,11,11,0,0,0,"",""
"CD61FL","COD",2013,"v024",11,11,11,0,0,0,"",""
"CD81FL","COD",2023,"v024",26,26,26,0,0,0,"",""
"CG61FL","COG",2011,"v024",12,12,12,0,0,0,"",""
"CI81FL","CIV",2021,"v024",14,14,14,0,0,0,"",""
"CM71FL","CMR",2018,"v024",12,12,10,2,0,0,"",""
"ET61FL","ETH",2011,"v024",11,11,11,0,0,0,"",""
"ET8AFL","ETH",2024,"v024",14,14,14,0,0,0,"",""
"GA41FL","GAB",2000,"v024",5,5,1,4,0,0,"",""
"GH4BFL","GHA",2003,"v024",10,10,10,0,0,0,"",""
"GH5AFL","GHA",2008,"v024",10,10,10,0,0,0,"",""
"GH72FL","GHA",2014,"v024",10,10,10,0,0,0,"",""
"GH8CFL","GHA",2022,"v024",16,16,16,0,0,0,"",""
"GM61FL","GMB",2013,"v024",8,8,8,0,0,0,"",""
"GM81FL","GMB",2019,"v024",8,8,8,0,0,0,"",""
"GN52FL","GIN",2005,"v024",8,8,8,0,0,0,"",""
"GN62FL","GIN",2012,"v024",8,8,8,0,0,0,"",""
"GN71FL","GIN",2018,"v024",8,8,8,0,0,0,"",""
"KE42FL","KEN",2003,"v024",8,8,7,1,0,0,"",""
"KE52FL","KEN",2008,"v024",8,8,7,1,0,0,"",""
"KE72FL","KEN",2014,"v024",8,8,8,0,0,0,"",""
"KE8CFL","KEN",2022,"v024",47,47,47,0,0,0,"",""
"LB51FL","LBR",2007,"v024",6,6,6,0,0,0,"",""
"LB5AFL","LBR",2009,"v024",6,6,6,0,0,0,"",""
"LB6AFL","LBR",2013,"v024",5,5,5,0,0,0,"",""
"LB7AFL","LBR",2019,"v024",5,5,5,0,0,0,"",""
"MD81FL","MDG",2021,"v024",23,23,21,2,0,0,"",""
"ML53FL","MLI",2006,"v024",9,9,9,0,0,0,"",""
"ML8AFL","MLI",2023,"v024",9,9,9,0,0,0,"",""
"MW41FL","MWI",2000,"v024",3,3,1,2,0,0,"",""
"MW61FL","MWI",2010,"v024",3,3,3,0,0,0,"",""
"MW7AFL","MWI",2015,"v024",3,3,0,3,0,0,"",""
"MW81FL","MWI",2024,"v024",3,3,3,0,0,0,"",""
"NG4BFL","NGA",2003,"v024",6,6,6,0,0,0,"",""
"NG53FL","NGA",2008,"v024",6,6,6,0,0,0,"",""
"NG61FL","NGA",2010,"v024",6,6,6,0,0,0,"",""
"NG6AFL","NGA",2013,"v024",6,6,6,0,0,0,"",""
"NG7BFL","NGA",2018,"v024",6,6,6,0,0,0,"",""
"NG8BFL","NGA",2024,"v024",6,6,6,0,0,0,"",""
"NI51FL","NER",2006,"v024",8,8,8,0,0,0,"",""
"NI61FL","NER",2012,"v024",8,8,8,0,0,0,"",""
"NM41FL","NAM",2000,"v024",11,13,11,0,2,0,"hardap; karas",""
"NM51FL","NAM",2006,"v024",11,13,11,0,2,0,"hardap; karas",""
"RW53FL","RWA",2005,"sregnat",5,5,5,0,0,0,"",""
"RW81FL","RWA",2019,"v024",5,5,5,0,0,0,"",""
"SL51FL","SLE",2008,"v024",4,4,4,0,0,0,"",""
"SL61FL","SLE",2013,"v024",4,4,4,0,0,0,"",""
"SL7AFL","SLE",2019,"v024",5,5,5,0,0,0,"",""
"SN5AFL","SEN",2008,"v024",11,11,11,0,0,0,"",""
"SN61FL","SEN",2010,"v024",14,14,14,0,0,0,"",""
"SN7ZFL","SEN",2017,"v024",14,14,14,0,0,0,"",""
"SN8SFL","SEN",2023,"v024",14,14,14,0,0,0,"",""
"SZ51FL","SWZ",2006,"v024",3,4,3,0,1,0,"manzini",""
"TD41FL","TCD",2004,"snewzon",8,8,8,0,0,0,"",""
"TD71FL","TCD",2014,"v024",21,21,20,1,0,0,"",""
"TZ63FL","TZA",2010,"v023",8,8,8,0,0,0,"",""
"TZ7BFL","TZA",2015,"sreg1",9,9,9,0,0,0,"",""
"TZ82FL","TZA",2022,"szone",9,9,9,0,0,0,"",""
"UG41FL","UGA",2000,"v024",4,4,4,0,0,0,"",""
"UG52FL","UGA",2006,"v024",9,9,9,0,0,0,"",""
"UG5AFL","UGA",2009,"v024",10,10,9,1,0,0,"",""
"UG61FL","UGA",2011,"v024",10,10,10,0,0,0,"",""
"ZA71FL","ZAF",2016,"v024",6,9,6,0,3,0,"easterncape; northerncape; westerncape",""
"ZM42FL","ZMB",2002,"v024",9,9,9,0,0,0,"",""
"ZM51FL","ZMB",2007,"v024",9,9,9,0,0,0,"",""
"ZM61FL","ZMB",2013,"v024",10,10,10,0,0,0,"",""
"ZM71FL","ZMB",2018,"v024",10,10,10,0,0,0,"",""
"ZM81FL","ZMB",2024,"v024",10,10,10,0,0,0,"",""
"ZW62FL","ZWE",2010,"v024",10,10,10,0,0,0,"",""
"ZW72FL","ZWE",2015,"v024",10,10,9,1,0,0,"",""
