"period","n","pct_change_per_10","lo","hi"
"2000-2006",145,7.17579458445448,2.33591590051423,12.2445706742481
"2007-2012",174,8.10779283356493,3.1110170768397,13.3467131124841
"2013-2018",158,8.7232662742224,2.83882435871667,14.9444162070833
"2019-2024",196,19.506432433166,9.78243467796638,30.0917349373493
