"variable","age_band","estimate","se","ridge_lambda","pct","lo","hi","label","level"
"birth_int","<1 month",0.0177164049372231,0.0113426866487679,1441.30996629813,1.78742713361861,-0.450508242912784,4.07567270923925,"Birth interval <24 months","survey-region"
"birth_int","1-3 months",0.100964961810596,0.0198990865814181,413.903689862759,10.6237880511982,6.39227151147983,15.0236037725349,"Birth interval <24 months","survey-region"
"birth_int","24-35 months",0.0613946787062009,0.0231909679735481,143.951625537769,6.3318500550924,1.60681071215683,11.2766187314832,"Birth interval <24 months","survey-region"
"birth_int","36-59 months",0.052782562518657,0.0213311372447447,207.763358030384,5.42003975174814,1.10339635793839,9.92098368204386,"Birth interval <24 months","survey-region"
"birth_int","12-23 months",0.124819333283905,0.0208048339777738,176.392792445658,13.2943749349093,8.7674421479631,18.009719989836,"Birth interval <24 months","survey-region"
"birth_int","4-11 months",0.101856685469728,0.0166908464839206,411.788981029018,10.7224778957613,7.15890350944066,14.4045591162408,"Birth interval <24 months","survey-region"
"dtp3_reg","<1 month",-0.00158542384709457,0.0156308370362582,1441.30996629813,-0.158416772662262,-3.1708271254452,2.94771137057739,"DTP3 coverage (DHS region)","survey-region"
"dtp3_reg","36-59 months",-0.0518290752000874,0.0314059345309009,207.763358030384,-5.05088554422461,-10.7192875003992,0.977401316955695,"DTP3 coverage (DHS region)","survey-region"
"dtp3_reg","1-3 months",-0.0216277308253748,0.026869893800158,413.903689862759,-2.13955284711023,-7.16001096364479,3.15239388075979,"DTP3 coverage (DHS region)","survey-region"
"dtp3_reg","4-11 months",-0.00402319215839524,0.0250463574079215,411.788981029018,-0.401510996319787,-5.1728146629777,4.60986452946326,"DTP3 coverage (DHS region)","survey-region"
"dtp3_reg","12-23 months",0.0145823138299254,0.032256254757354,176.392792445658,1.46891544644339,-4.74759714682536,8.09113989227124,"DTP3 coverage (DHS region)","survey-region"
"dtp3_reg","24-35 months",-0.0679122206753757,0.033874578772687,143.951625537769,-6.56575140699508,-12.5677864432429,-0.151689463147986,"DTP3 coverage (DHS region)","survey-region"
"educ_yrs","1-3 months",-0.00674105211717726,0.0267390285310115,413.903689862759,-0.671838219366871,-5.74342002494874,4.67262577669461,"Maternal education","survey-region"
"educ_yrs","4-11 months",0.0142839350026829,0.0231724076178253,411.788981029018,1.43864378688663,-3.06543123681265,6.15200113450762,"Maternal education","survey-region"
"educ_yrs","12-23 months",0.00411110242322282,0.0294553246786556,176.392792445658,0.411956459710394,-5.22090651881301,6.37958889180656,"Maternal education","survey-region"
"educ_yrs","24-35 months",-0.10715159606616,0.0328468028850805,143.951625537769,-10.1610529642911,-15.7626123731848,-4.18700494083611,"Maternal education","survey-region"
"educ_yrs","<1 month",-0.00905420148005263,0.0150616527476588,1441.30996629813,-0.901333562672457,-3.78404992509241,2.0677515735287,"Maternal education","survey-region"
"educ_yrs","36-59 months",-0.110792661632748,0.0301560995641779,207.763358030384,-10.4875676694296,-15.6249645610699,-5.03736679868649,"Maternal education","survey-region"
"elec_dhs","12-23 months",-0.086340972337301,0.0296161128457554,176.392792445658,-8.2718589694892,-13.4448630314151,-2.78968815025789,"Household electricity","survey-region"
"elec_dhs","4-11 months",-0.0409658259965213,0.0229961058112428,411.788981029018,-4.01380682876947,-8.244081414177,0.411498478838346,"Household electricity","survey-region"
"elec_dhs","<1 month",0.00940546660667386,0.015551438429523,1441.30996629813,0.944983700672419,-2.08548194583392,4.0692426090684,"Household electricity","survey-region"
"elec_dhs","1-3 months",-0.0105684026953727,0.0266775352770031,413.903689862759,-1.05127533417321,-6.09216579005805,4.26020571515906,"Household electricity","survey-region"
"elec_dhs","24-35 months",-0.0308981009042992,0.0321427808983517,143.951625537769,-3.04256332063638,-8.96243399970134,3.26225689515869,"Household electricity","survey-region"
"elec_dhs","36-59 months",-0.0243731667123298,0.0298781644965864,207.763358030384,-2.40785396036004,-7.95884473471553,3.4779163861137,"Household electricity","survey-region"
"excl_bf","12-23 months",0.00237214721298837,0.0281229376846964,176.392792445658,0.237496298021966,-5.13817346358401,5.91779676768995,"Exclusive breastfeeding","survey-region"
"excl_bf","<1 month",0.0169391037973829,0.0145928980730426,1441.30996629813,1.70833839235272,-1.15952275565029,4.65941066795776,"Exclusive breastfeeding","survey-region"
"excl_bf","1-3 months",0.0119791601164432,0.023272955988907,413.903689862759,1.20511976171971,-3.3076438418632,5.92850017257656,"Exclusive breastfeeding","survey-region"
"excl_bf","24-35 months",0.0455770845718071,0.0270639468226536,143.951625537769,4.66316806594129,-0.744043310651155,10.3649505276996,"Exclusive breastfeeding","survey-region"
"excl_bf","4-11 months",-0.000536171483852591,0.0224881919259584,411.788981029018,-0.0536027769608816,-4.36325019947131,4.45024887086136,"Exclusive breastfeeding","survey-region"
"excl_bf","36-59 months",0.022746085057476,0.026500657325552,207.763358030384,2.30067498662783,-2.87731407271401,7.75472283123368,"Exclusive breastfeeding","survey-region"
"facility","<1 month",-0.0327753054207849,0.0149952644135879,1441.30996629813,-3.22440153152413,-6.02731430637953,-0.337886591151593,"Facility delivery","survey-region"
