"horizon_months","prevalence_lag_years","n","countries","selected","runner_up","delta_aic_to_runner_up","aic_linear_no_interaction","aic_selected","linear_pct_change_per_10","linear_pfpr_p","af10_selected","af30_selected","af50_selected","af10_spline","af30_spline","af50_spline"
12,0,1055,35,"spline_time_interaction","spline_no_interaction",1.93621753693515,6035.99763277602,6024.41710990977,6.24219446182401,4.19074470722834e-08,0.118558705147138,0.297195158516922,0.38252935558277,0.135944433416724,0.314541350890479,0.366313284699915
12,1,1011,35,"linear_time_interaction","full_te_surface",2.67457991224273,5776.46695685538,5765.72372997432,5.59281833611955,6.5189633253996e-07,0.0633555334501589,0.190144384501053,0.299770466406445,0.134780429151327,0.295432826544334,0.352090111575606
12,2,998,35,"linear_time_interaction","spline_time_interaction",3.05687430227226,5688.26743280839,5680.41296800937,4.60480396943648,3.54680724426249e-05,0.0482463828219404,0.14729014395121,0.236026965929865,0.102518016774224,0.242867187198962,0.294247271031377
24,0,1055,35,"linear_time_interaction","spline_time_interaction",1.80136303126528,6958.66267149544,6944.35379144853,5.90220835735882,1.63569677664369e-08,0.0692347617098367,0.206410239828737,0.323368899545915,0.121311108411775,0.293916358122655,0.345648203805802
24,1,1011,35,"linear_time_interaction","spline_time_interaction",0.118257385524885,6656.18751612476,6642.55880424437,5.17464682500997,4.84975156815047e-07,0.0613369248918296,0.184506968826505,0.291514813431967,0.109805285297417,0.260401252056926,0.322344764967781
24,2,998,35,"linear_time_interaction","spline_no_interaction",3.84653825558598,6556.23844628915,6546.70796783912,4.27943658163976,2.52636552757308e-05,0.0463962139042715,0.141937339211804,0.227906243059938,0.0895224985789119,0.222229275262911,0.277362263921684
36,0,1055,35,"full_te_surface","linear_time_interaction",0.459553663625229,7555.64492667091,7538.56409651697,5.84373795843292,2.2285348658114e-09,0.125052094770999,0.288443660801357,0.358153298540517,0.133902510454699,0.315515602499283,0.357629437337224
36,1,1011,35,"linear_time_interaction","spline_time_interaction",1.09937938372423,7223.96461736567,7208.4332613003,5.13042125635437,8.49801236929442e-08,0.0601963250393189,0.181309652719834,0.286814999145688,0.120769563114647,0.278871349324428,0.335747239615082
36,2,998,35,"spline_no_interaction","spline_time_interaction",2.6597565447646,7113.58173644213,7101.66388162159,4.32681649452697,4.6089229303522e-06,0.105631572216384,0.252835363815272,0.301496083878187,0.105631572216384,0.252835363815272,0.301496083878187
48,0,1055,35,"full_te_surface","spline_no_interaction",0.457503486626592,8011.98295367683,7994.20055509088,5.8124196683198,3.23395175517212e-10,0.135174087707159,0.298702154986766,0.360853978015721,0.138585823615963,0.317289797597929,0.359701150237042
48,1,1011,35,"spline_time_interaction","spline_no_interaction",3.19228512182417,7664.73610027419,7645.76216374599,5.09072431893483,1.93555939740125e-08,0.111463194188644,0.263521237122968,0.338967591112871,0.129565196572411,0.284769112832313,0.340191533367927
48,2,998,35,"spline_no_interaction","spline_time_interaction",4.41474075285623,7546.74492766584,7532.9970831188,4.36063554242374,1.01724652915286e-06,0.111563448903429,0.258192098147862,0.304882608984512,0.111563448903429,0.258192098147862,0.304882608984512
60,0,1055,35,"spline_time_interaction","spline_no_interaction",3.11231724599929,8417.11889309837,8389.27413421404,5.7898584983024,1.68021203037024e-10,0.139449301633532,0.319534732776942,0.380557482658741,0.150686029507181,0.330521353220763,0.36957612794532
60,1,1011,35,"spline_time_interaction","spline_no_interaction",1.08645048457402,8054.38354062099,8031.72666681641,5.23079609875834,4.06842698398955e-09,0.141041428112416,0.297580939692131,0.361897010670682,0.159898151854755,0.316971800880227,0.367454846742271
60,2,998,35,"spline_no_interaction","spline_time_interaction",0.734999744158813,7931.48550691988,7912.47062396971,4.51286086502471,2.47299812931307e-07,0.132798598534219,0.285972917013354,0.328153298203037,0.132798598534219,0.285972917013354,0.328153298203037
