"iso3","CountryName","year","SurveyType","SurveyId","FileName","no_extension","svkey","local_recode","boundary_file","recode_available","boundary_available","country","in_aggregate","in_analysis","in_main_sample","map_extraction_cached","recode_on_disk","boundary_on_disk","has_map_series","n_boundary_units","n_recode_units","n_region_overlap","omission_cause"
"CIV","Cote d'Ivoire",2021,"DHS","CI2021DHS","CIBR81FL.ZIP","CIBR81FL","CI81FL","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs/CIBR81FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/CI2021DHS.rds",TRUE,TRUE,"Côte d’Ivoire",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"CMR","Cameroon",2004,"DHS","CM2004DHS","CMBR44FL.zip","CMBR44FL","CM44FL","/Users/jameswatson/.rdhs_cache/datasets_reformatted/CMBR44FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/CM2004DHS.rds",TRUE,TRUE,"Cameroon",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"CMR","Cameroon",2011,"DHS","CM2011DHS","CMBR61FL.ZIP","CMBR61FL","CM61FL","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs/CMBR61FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/CM2011DHS.rds",TRUE,TRUE,"Cameroon",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"CMR","Cameroon",2018,"DHS","CM2018DHS","CMBR71FL.ZIP","CMBR71FL","CM71FL","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs/CMBR71FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/CM2018DHS.rds",TRUE,TRUE,"Cameroon",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"COD","Congo Democratic Republic",2007,"DHS","CD2007DHS","CDBR51FL.ZIP","CDBR51FL","CD51FL","/Users/jameswatson/.rdhs_cache/datasets_reformatted/CDBR51FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/CD2007DHS.rds",TRUE,TRUE,"Congo - Kinshasa",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11,11,11,"unattributed"
"COD","Congo Democratic Republic",2013,"DHS","CD2013DHS","CDBR61FL.ZIP","CDBR61FL","CD61FL","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs/CDBR61FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/CD2013DHS.rds",TRUE,TRUE,"Congo - Kinshasa",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"COD","Congo Democratic Republic",2023,"DHS","CD2023DHS","CDBR81FL.zip","CDBR81FL","CD81FL","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs/CDBR81FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/CD2023DHS.rds",TRUE,TRUE,"Congo - Kinshasa",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"COG","Congo",2005,"DHS","CG2005DHS","CGBR51FL.ZIP","CGBR51FL","CG51FL","/Users/jameswatson/.rdhs_cache/datasets_reformatted/CGBR51FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/CG2005DHS.rds",TRUE,TRUE,"Congo - Brazzaville",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"COG","Congo",2011,"DHS","CG2011DHS","CGBR61FL.ZIP","CGBR61FL","CG61FL","/Users/jameswatson/.rdhs_cache/datasets_reformatted/CGBR61FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/CG2011DHS.rds",TRUE,TRUE,"Congo - Brazzaville",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"COM","Comoros",2012,"DHS","KM2012DHS","KMBR61FL.ZIP","KMBR61FL","KM61FL","/Users/jameswatson/.rdhs_cache/datasets_reformatted/KMBR61FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/KM2012DHS.rds",TRUE,TRUE,"Comoros",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
