"age_group","cells","pct_per_10","pct_lo","pct_hi","prob_positive","divergent","max_rhat","min_bulk_ess","af10","af10_lo","af10_hi","af30","af30_lo","af30_hi","af50","af50_lo","af50_hi"
"0-3 months",10464,1.81452406153528,0.573662552386534,3.07219903285669,0.997,9,1.00593270625723,1097.74818636285,0.0160382623127726,0.00513498104020321,0.0268660763491704,0.0506547682020623,0.0164518433349143,0.0840125383577955,0.0839081031587218,0.0276399731314567,0.137803122891202
"3-12 months",10464,5.77312979823781,4.03712283349398,7.53289763984288,1,11,1.00601414636967,1276.8365564601,0.0492304328832764,0.0349929189598945,0.063273544039297,0.149944216324734,0.108433311243615,0.189915935908135,0.239763029462418,0.176284634462383,0.299436685258327
"1-2 years",5232,6.91988574852478,4.69104702690617,9.25938966008468,1,7,1.00360033016898,1248.3573186288,0.0583959837173382,0.0404195062982933,0.0766058754075534,0.175960917669357,0.124487553363943,0.226483527500758,0.278503616021539,0.201190468903725,0.352034285836536
"2-5 years",15696,4.52128687905364,2.7239434732903,6.35302856867213,1,3,1.00389350267587,1187.569390403,0.0389867972659161,0.0238973648137281,0.0539259626065959,0.12007088742149,0.0749778761842315,0.163578088697403,0.194064134712061,0.123385286652663,0.260521284743825
