"model","label","deaths_2000","deaths_2000_lo","deaths_2000_hi","deaths_2024","deaths_2024_lo","deaths_2024_hi","difference_2024_minus_2000","difference_lo","difference_hi","pct_change_median","prob_decline"
"A","A: additive",847650.113888845,580787.097626005,1104361.48509856,387949.344379537,235362.654169036,541838.377648869,-459700.769509309,-578809.47194931,-326791.316443667,-54.3299811454663,1
"C","C: curve shifts linearly in time",471695.473535373,29010.6286532856,922298.496735037,470944.103189225,259824.56194206,660398.928956068,-751.370346148115,-493157.139129798,476470.248601882,-0.037050796890914,0.50075
"D","D: full surface",448676.314007092,1131.38989548178,1014866.16483142,350285.029973499,19835.2437895674,649909.51814458,-98391.2840335931,-673384.528213653,432423.348035725,-20.2151774776867,0.61725
