"engine","age_band","pfpr","af","af_lo","af_hi","attributable_per_1000cy","attributable_lo","attributable_hi","allcause_rate_per_1000cy","rate_lo","rate_hi","reference_rate_per_1000cy"
"Stan (brms, full posterior)","<1 month",10,-0.000145408687072267,-0.0643029394104504,0.0504244119544564,-0.0478942507784155,-20.813222057609,16.385795765468,321.736290888079,296.844490659129,347.782568134954,321.784185138857
"Stan (brms, full posterior)","<1 month",30,0.0607537782866806,-0.0233877482520777,0.138866940142393,21.018164019299,-7.71307889973999,48.7227795157368,342.802349158156,314.935395030531,371.657310121441,321.784185138857
"Stan (brms, full posterior)","<1 month",50,0.0627316378300909,-0.0291157670433165,0.147862111896038,21.8542666075816,-9.58288066913739,52.9503994533044,343.638451746439,313.323712454006,374.17298002247,321.784185138857
"Stan (brms, full posterior)","1-3 months",10,0.0394413024519685,-0.0310831338224166,0.107517104873112,1.34724824043634,-1.06704784828652,3.64695432711929,34.2600631062748,29.924385186828,38.9047265881772,32.9128148658385
"Stan (brms, full posterior)","1-3 months",30,0.123280585695407,0.0160586233910731,0.231503620327388,4.67725513426199,0.594294403108819,9.08271257356542,37.5900700001006,32.8517702372536,42.7973937097402,32.9128148658385
"Stan (brms, full posterior)","1-3 months",50,0.189844719173104,0.0723697674906498,0.303416274406918,7.81646094906636,2.72917058573601,13.5556688751139,40.7292758149049,35.1085720769395,46.9202365578727,32.9128148658385
"Stan (brms, full posterior)","4-11 months",10,0.0800413131693846,0.0131418030668015,0.139778790524648,1.54928045393495,0.252840547090548,2.7164407655172,19.3744413368128,17.1015372068063,21.728426648596,17.8251608828778
"Stan (brms, full posterior)","4-11 months",30,0.239927307053305,0.153424876184191,0.32502871803838,5.65233084891728,3.42545306649023,8.07677911364171,23.4774917317951,20.7401364969193,26.4087443632078,17.8251608828778
"Stan (brms, full posterior)","4-11 months",50,0.331306246284135,0.24499354208012,0.412595158460517,8.87609350653996,6.1245357554222,11.9306606781107,26.7012543894177,23.3975029841271,30.2538109652422,17.8251608828778
"Stan (brms, full posterior)","12-23 months",10,0.228649953707161,0.153201995099237,0.30538481743465,1.97339263741993,1.29447465499515,2.74084692923715,8.63268078964668,7.3634194025097,10.0283770390955,6.65928815222674
"Stan (brms, full posterior)","12-23 months",30,0.431501458484092,0.34162787819198,0.51389452644573,5.07528944892899,3.69888011215063,6.61682570888442,11.7345776011557,9.98880362843103,13.6891649354742,6.65928815222674
"Stan (brms, full posterior)","12-23 months",50,0.466042910273413,0.374801849477175,0.548385954126379,5.84392972049483,4.21477975054451,7.62154357983207,12.5032178727216,10.529283680822,14.6523495023796,6.65928815222674
"Stan (brms, full posterior)","24-35 months",10,0.298584954592131,0.22054986608002,0.374907823295407,1.67013650691819,1.18858034722154,2.18292293866504,5.59539337958298,4.81070089455232,6.43592864663524,3.92525687266479
"Stan (brms, full posterior)","24-35 months",30,0.506131232071472,0.423334528549958,0.58108551820877,4.03621226446651,3.08490148302327,5.05245338959667,7.9614691371313,6.82429816237318,9.17190107375277,3.92525687266479
"Stan (brms, full posterior)","24-35 months",50,0.523336066399374,0.431518787752683,0.601189100161839,4.33293123669724,3.20151148840011,5.50706305782739,8.25818810936202,6.94850115017503,9.63334838935925,3.92525687266479
"Stan (brms, full posterior)","36-59 months",10,0.227379941222828,0.145948681876941,0.305910993933573,0.839655154538014,0.533031353154231,1.16601016212566,3.69537170347483,3.18071929196954,4.259302131584,2.8557165489368
"Stan (brms, full posterior)","36-59 months",30,0.400881326965317,0.30413178973535,0.486416652984156,1.9179483796581,1.3442874711014,2.50700999209923,4.77366492859489,4.0897611334869,5.5064778401234,2.8557165489368
"Stan (brms, full posterior)","36-59 months",50,0.39848826216639,0.288058856866007,0.49282113269006,1.90360267925735,1.26070634151834,2.56872227564915,4.75931922819415,4.02535498865937,5.52096829776122,2.8557165489368
"mgcv (fREML, coefficient draws)","<1 month",10,0.0221442508397063,-0.0157462757974807,0.0588783260962622,7.13830482415737,-5.17668160351897,18.6998039171071,324.045561198879,301.024062761932,347.945621899056,316.907256374722
"mgcv (fREML, coefficient draws)","<1 month",30,0.0734041773170034,-0.00442702196018523,0.141590689101308,25.2786333607955,-1.4916879907187,50.1192369682166,342.185889735517,318.594405156747,366.427831110901,316.907256374722
"mgcv (fREML, coefficient draws)","<1 month",50,0.0829611183793275,-0.000200005009661341,0.155309143592068,28.951311129826,-0.0647481231510283,56.2742505825619,345.858567504547,319.092485209395,373.682999261005,316.907256374722
