"model","AIC","prevalence_edf","prevalence_p","interaction_edf","interaction_p","full_surface_edf","full_surface_p","dAIC"
"spline_no_interaction",7100.01390796677,2.84761799693714,0,NA,NA,NA,NA,0
"spline_time_interaction",7104.91910972302,2.62331925763574,0,1.63275239307712,0.162827593938615,NA,NA,4.90520175624806
"linear_time_interaction",7109.24047200804,NA,6.36916439270029e-11,NA,0.00754363871383833,NA,NA,9.22656404126428
"linear_no_interaction",7110.20531284237,NA,5.45406615611254e-09,NA,NA,NA,NA,10.1914048755989
"full_te_surface",7111.22714979092,NA,NA,NA,NA,6.46282822791308,0,11.2132418241463
