"model","prevalence","year","af","lo","hi"
"A",10,2013,0.108578374481513,0.042025817467286,0.182693751081775
"A",30,2013,0.281803695857583,0.181619396794679,0.37851265084437
"A",50,2013,0.342759500921831,0.238527546965253,0.437406373904278
"C",10,2013,0.098819480722504,0.0393608802135976,0.170169511750272
"C",30,2013,0.267473747857904,0.168779071941513,0.3662146787733
"C",50,2013,0.357513752545875,0.258168282609382,0.451863421566338
"D",10,2013,0.115640299461227,0.0271012801931007,0.20746977253024
"D",30,2013,0.277722993928672,0.157313023768836,0.389095239987886
"D",50,2013,0.360329952589703,0.229731738855631,0.465614784273171
