"model","prevalence","af_early","af_late","difference","lo","hi","prob_positive"
"A",10,0.108578374481513,0.108578374481513,3.69149155687865e-18,-4.44089209850063e-16,4.44089209850063e-16,NA
"A",30,0.281803695857583,0.281803695857583,2.83106871279415e-18,-3.33066907387547e-16,3.33066907387547e-16,NA
"A",50,0.342759500921831,0.342759500921831,5.57887069874141e-18,-3.33066907387547e-16,3.33066907387547e-16,NA
"C",10,0.0744138891098273,0.119975049832125,0.0455611607222976,-0.0561685904061541,0.153356904692735,0.85825
"C",30,0.20608125970385,0.315969004706701,0.109887745002849,-0.0298764515605747,0.243967183580611,0.94475
"C",50,0.258773631275793,0.43132173823692,0.172548106961127,0.0233112546313971,0.320428388249321,0.98975
"D",10,0.077795227401555,0.134957075665619,0.0571618482640642,-0.0566367022225885,0.171864106023425,0.862
"D",30,0.196108448671363,0.345219246468055,0.14911079779669,-0.00876901325884323,0.31392804158131,0.96725
"D",50,0.250605106566461,0.478102802588625,0.227497696022163,0.0651327905668297,0.399805787193189,0.9975
