"group","n","r2_without_month","r2_with_month","increment","month_edf","month_p","seasonal_amplitude_pp"
"All countries",669,0.862332820521599,0.863230793873511,0.000897973351912218,0.955152311200479,0.175955452278822,1.60148127958611
"Sahel",155,0.980089159568782,0.981840966305943,0.00175180673716091,1.80486380115692,0.0115939827889546,5.91178649451856
"Non-Sahel",514,0.793892194011504,0.79389222207069,2.80591858636825e-08,0.00153944173655717,0.629846203940323,0.00147835638266101
