"model","label","elpd_kfold","se_elpd_kfold","elpd_diff","se_diff","stacking_weight","elpd_loo_pointwise","elpd_diff_vs_A","se_vs_A_survey_level","surveys_favouring_over_A","elpd_diff_vs_A_without_top3"
"D","D: full surface",-4129.55222327296,41.3223380957083,0,0,0.861639561343974,-4072.26886357622,7.09883262129293,4.43488349310758,70,3.3013664587346
"C","C: curve changes linearly in time",-4130.62103838008,41.3261548950627,-1.06881510710677,1.72032741649858,0.138321712075943,-4072.05553453082,6.03001751418616,4.85529086470799,62,0.749523360323986
"A","A: additive",-4136.65105589425,41.6329695852879,-7.09883262129293,3.44977641352656,3.87265800836875e-05,-4072.41263290882,0,0,0,0
