"grouping","age_group","component","pct_per_10","pct_lo","pct_hi","p_value"
"four groups","0-3 months","between regions",1.96265328099026,0.624558701926703,3.31854169811499,0.00393750089150984
"four groups","0-3 months","within region over time",0.787528727841535,-2.17391955398237,3.8386277028746,0.606188160361554
"four groups","3-12 months","between regions",6.28977775755395,4.37587869778235,8.23877122473744,4.86186273178407e-11
"four groups","3-12 months","within region over time",2.1319607839249,-1.71616041225952,6.13074801841875,0.281684691139869
"four groups","1-2 years","between regions",8.08586612812452,5.64194832498117,10.5863214556436,2.95138780206607e-11
"four groups","1-2 years","within region over time",2.2162468833345,-2.58860662231923,7.25810158987736,0.372250647164204
"four groups","2-5 years","between regions",5.2357531529799,3.31251370445476,7.19479513736188,5.94894167462659e-08
"four groups","2-5 years","within region over time",1.270987423091,-2.50028787170056,5.18813512138656,0.514230309117021
"neonatal split","0 months","between regions",0.707853190106289,-0.730030898005019,2.16656442936458,0.336415253118511
"neonatal split","0 months","within region over time",0.417546934801272,-2.73814608676219,3.6756274602594,0.798135774087979
"neonatal split","1-2 months","between regions",5.19254069634252,2.49695971339994,7.95901311700109,0.000133865660482148
"neonatal split","1-2 months","within region over time",1.66258387646825,-4.73734691459206,8.49247449757486,0.619177253468245
"neonatal split","3-11 months","between regions",6.28977775755395,4.37587869778235,8.23877122473744,4.86186273178407e-11
"neonatal split","3-11 months","within region over time",2.1319607839249,-1.71616041225952,6.13074801841875,0.281684691139869
"neonatal split","12-23 months","between regions",8.08586612812452,5.64194832498117,10.5863214556436,2.95138780206607e-11
"neonatal split","12-23 months","within region over time",2.2162468833345,-2.58860662231923,7.25810158987736,0.372250647164204
"neonatal split","24-59 months","between regions",5.2357531529799,3.31251370445476,7.19479513736188,5.94894167462659e-08
"neonatal split","24-59 months","within region over time",1.270987423091,-2.50028787170056,5.18813512138656,0.514230309117021
"six bands","<1 month","between regions",0.707853190106289,-0.730030898005019,2.16656442936458,0.336415253118511
"six bands","<1 month","within region over time",0.417546934801272,-2.73814608676219,3.6756274602594,0.798135774087979
"six bands","1-2 months","between regions",5.19254069634252,2.49695971339994,7.95901311700109,0.000133865660482148
"six bands","1-2 months","within region over time",1.66258387646825,-4.73734691459206,8.49247449757486,0.619177253468245
"six bands","3-11 months","between regions",6.28977775755395,4.37587869778235,8.23877122473744,4.86186273178407e-11
"six bands","3-11 months","within region over time",2.1319607839249,-1.71616041225952,6.13074801841875,0.281684691139869
"six bands","12-23 months","between regions",8.08586612812452,5.64194832498117,10.5863214556436,2.95138780206607e-11
"six bands","12-23 months","within region over time",2.2162468833345,-2.58860662231923,7.25810158987736,0.372250647164204
"six bands","24-35 months","between regions",7.71002997111108,5.03166002930711,10.4566999430503,7.85767874539436e-09
"six bands","24-35 months","within region over time",4.3747841911068,-1.07434184833475,10.124064661143,0.117606652205916
"six bands","36-59 months","between regions",4.25840088913072,1.78336317926719,6.79362340202987,0.000671400838385939
"six bands","36-59 months","within region over time",-1.02807233401691,-6.04926631771279,4.26147920298097,0.697270653892728
"six bands (4-month split)","<1 month","between regions",0.707853190106289,-0.730030898005019,2.16656442936458,0.336415253118511
"six bands (4-month split)","<1 month","within region over time",0.417546934801272,-2.73814608676219,3.6756274602594,0.798135774087979
"six bands (4-month split)","1-3 months","between regions",3.98945038098708,1.56675677097582,6.46993302074186,0.00114725504804634
"six bands (4-month split)","1-3 months","within region over time",1.5604537380739,-3.89413783711949,7.32462652488732,0.582498141739933
"six bands (4-month split)","4-11 months","between regions",7.80527208962003,5.75815347411806,9.89201596793414,1.68739652595689e-14
"six bands (4-month split)","4-11 months","within region over time",2.32709456509683,-1.76576947484218,6.59048506979127,0.269369935240208
"six bands (4-month split)","12-23 months","between regions",8.08586612812452,5.64194832498117,10.5863214556436,2.95138780206607e-11
"six bands (4-month split)","12-23 months","within region over time",2.2162468833345,-2.58860662231923,7.25810158987736,0.372250647164204
"six bands (4-month split)","24-35 months","between regions",7.71002997111108,5.03166002930711,10.4566999430503,7.85767874539436e-09
"six bands (4-month split)","24-35 months","within region over time",4.3747841911068,-1.07434184833475,10.124064661143,0.117606652205916
"six bands (4-month split)","36-59 months","between regions",4.25840088913072,1.78336317926719,6.79362340202987,0.000671400838385939
"six bands (4-month split)","36-59 months","within region over time",-1.02807233401691,-6.04926631771279,4.26147920298097,0.697270653892728
