"svkey","regions","matched","unmatched","how"
"AO62FL",4,4,"","exact/tokens"
"AO71FL",18,18,"","exact"
"AO81FL",18,18,"","exact/tokens"
"BU61FL",5,5,"","exact/tokens"
"BU71FL",18,18,"","exact"
"BJ41FL",6,6,"","exact/fuzzy"
"BJ51FL",12,12,"","exact"
"BJ61FL",12,12,"","exact"
"BJ71FL",12,12,"","exact/synonym"
"BF43FL",14,14,"","exact/tokens"
"BF62FL",13,13,"","exact/tokens"
"BF81FL",13,13,"","exact/tokens"
"CI62FL",11,11,"","exact/synonym/tokens"
"CI81FL",14,14,"","exact"
"CM44FL",12,12,"","exact/fuzzy/tokens"
"CM61FL",12,12,"","exact/fuzzy/tokens"
"CM71FL",12,12,"","exact/fuzzy/tokens"
"CD51FL",11,11,"","exact"
"CD61FL",11,11,"","exact/fuzzy"
"CD81FL",26,26,"","exact/fuzzy/synonym"
"CG51FL",4,4,"","exact/tokens"
"CG61FL",12,12,"","exact"
"KM61FL",3,3,"","exact"
"ET41FL",11,11,"","exact/tokens"
"ET51FL",11,11,"","exact/tokens"
"ET61FL",11,11,"","exact/tokens"
"ET71FL",11,11,"","exact/tokens"
"ET81FL",11,11,"","exact"
"ET8AFL",14,14,"","exact/fuzzy"
"GA41FL",5,5,"","exact"
"GA61FL",10,10,"","exact/fuzzy"
"GA71FL",11,11,"","exact/fuzzy"
"GH4BFL",10,10,"","exact"
"GH5AFL",10,10,"","exact"
"GH72FL",10,10,"","exact"
"GH8CFL",16,16,"","exact"
"GN52FL",8,8,"","exact"
"GN62FL",8,8,"","exact"
"GN71FL",8,8,"","exact"
"GM61FL",8,8,"","exact"
"GM81FL",8,8,"","exact"
"KE42FL",8,8,"","exact/tokens"
"KE52FL",8,8,"","exact/tokens"
"KE72FL",8,8,"","exact"
"KE8CFL",47,47,"","exact"
"LB51FL",6,6,"","exact"
"LB5AFL",6,6,"","exact"
"LB6AFL",5,5,"","exact"
"LB7AFL",5,5,"","exact"
"MD42FL",6,6,"","exact/tokens"
"MD51FL",22,22,"","exact/fuzzy/synonym"
"MD81FL",23,23,"","exact/fuzzy/synonym"
"ML41FL",7,7,"","exact/fuzzy"
"ML53FL",9,9,"","exact"
"ML6AFL",6,6,"","exact"
"ML7AFL",9,9,"","exact"
"ML8AFL",9,8,"kidal","exact"
"MZ41FL",11,11,"","exact/tokens"
"MZ62FL",11,11,"","exact/tokens"
"MZ81FL",11,11,"","exact/tokens"
"MR71FL",13,13,"","exact/tokens"
"MW41FL",3,3,"","exact"
"MW4EFL",3,3,"","exact"
"MW61FL",3,3,"","exact"
"MW7AFL",3,3,"","exact"
"MW81FL",3,3,"","exact"
"NM41FL",11,11,"","exact/synonym"
"NM51FL",11,11,"","exact/synonym"
"NM61FL",11,11,"","exact"
"NI51FL",8,8,"","exact"
"NI61FL",8,8,"","exact"
"NG4BFL",6,6,"","exact"
"NG53FL",6,6,"","exact"
"NG61FL",6,6,"","exact"
"NG6AFL",6,6,"","exact"
"NG7BFL",6,6,"","exact"
"NG8BFL",6,6,"","exact"
"RW41FL",12,12,"","exact/synonym/tokens"
"RW53FL",5,5,"","exact/tokens"
"RW5AFL",5,5,"","exact/tokens"
"RW61FL",5,5,"","exact/tokens"
"RW70FL",5,5,"","exact/tokens"
"RW81FL",5,5,"","exact"
"SN4AFL",11,11,"","exact"
"SN5AFL",11,11,"","exact"
"SN61FL",14,14,"","exact"
"SN6DFL",4,4,"","tokens"
"SN71FL",4,4,"","tokens"
"SN7AFL",4,4,"","tokens"
"SN7IFL",4,4,"","tokens"
"SN7ZFL",14,14,"","exact"
"SN81FL",4,4,"","tokens"
"SN8BFL",4,4,"","tokens"
"SN8SFL",14,14,"","exact"
"SL51FL",4,4,"","exact"
"SL61FL",4,3,"western","exact"
"SL7AFL",5,5,"","exact"
"ST51FL",4,4,"","tokens"
"SZ51FL",3,3,"","exact"
"TD41FL",8,8,"","exact"
"TD71FL",21,21,"","exact"
"TG61FL",6,6,"","exact/synonym/tokens"
"TZ4IFL",8,8,"","exact"
"TZ63FL",8,8,"","exact"
"TZ7BFL",9,9,"","exact"
"TZ82FL",9,9,"","exact"
"UG41FL",4,4,"","exact"
"UG52FL",9,9,"","exact/suffix/synonym"
"UG5AFL",10,9,"midwestern","exact/synonym/tokens"
"UG61FL",10,10,"","exact/synonym"
"UG7BFL",13,13,"","exact/synonym"
"ZA71FL",6,6,"","exact/synonym"
"ZM42FL",9,9,"","exact"
"ZM51FL",9,9,"","exact"
"ZM61FL",10,10,"","exact"
"ZM71FL",10,10,"","exact"
"ZM81FL",10,10,"","exact"
"ZW52FL",10,10,"","exact/tokens"
"ZW62FL",10,10,"","exact/tokens"
"ZW72FL",10,10,"","exact"
