"year","prevalence","rate","rate_lo","rate_hi","af","af_lo","af_hi"
"2005",1.47799305894986,65.1776408544753,47.8386497366906,88.8011030983761,0,0,0.399272396041117
"2005",1.50804934967438,65.1677747216632,47.8399602345591,88.7717891350917,0,0,0.424325343864373
"2005",1.53871686154548,65.1577095594375,47.841276627495,88.7419277727229,0,0,0.449881060210389
"2005",1.57000802428354,65.1474414575974,47.8425981683117,88.7115100551164,0,0,0.475949274131671
"2005",1.6019355203783,65.1369664364489,47.8439240589856,88.6805269424012,0,0,0.502539878753294
"2005",1.63451229022906,65.126280446073,47.8452534482345,88.648969313738,0,0,0.529662932409003
"2005",1.66775153738955,65.1153793656233,47.846585429001,88.6168279703208,0,0,0.557328659662581
"2005",1.70166673391941,65.1042590026545,47.8479190358376,88.5840936386401,0,0,0.58554745220254
"2005",1.73627162584445,65.0929150924878,47.8492532421903,88.5507569740263,0,0,0.61432986958595
"2005",1.77158023872806,65.0813432976176,47.8505869575819,88.5168085644816,0,0,0.643686639845664
"2005",1.80760688335578,65.0695392071655,47.8519190246966,88.4822389348197,0,0,0.673628659949399
"2005",1.84436616153561,65.057498336382,47.8532482163536,88.4470385511244,0,0,0.704166996070232
"2005",1.88187297201615,65.0452161262017,47.8545732323731,88.4111978255432,0,0,0.735312883665151
"2005",1.92014251652519,65.0326879428534,47.8558926963276,88.3747071214304,0,0,0.76707772732848
"2005",1.95919030593105,65.019909077534,47.8572051521782,88.3375567588566,0,0,0.799473100412129
"2005",1.99903216652921,65.0068747461548,47.8585090608038,88.2997370205015,0,0,0.832510744421411
"2005",2.03968424645681,64.9935800891715,47.8598027964224,88.2612381579498,0,0,0.866202568179897
"2005",2.08116302223759,64.9800201714916,47.8610846428921,88.222050398403,0,0,0.900560646687154
"2005",2.12348530545991,64.9661899824676,47.8623527898898,88.1821639518235,0,0,0.935597219653295
"2005",2.16666824959058,64.9520844359973,47.8636053289871,88.1415690185369,0,0,0.971324689749087
"2005",2.21072935692728,64.9376983707253,47.8648402496057,88.1002557973029,0,0,1.00775562049132
"2005",2.25568648569232,64.9230265503738,47.8660554348776,88.0582144938831,0,0,1.04490273381981
"2005",2.30155785727069,64.9080636641878,47.8672486573818,88.0154353301138,0,0,1.08277890723134
"2005",2.3483620635953,64.8928043275138,47.8684175747715,87.9719085535094,0,0,1.12139717048321
"2005",2.3961180746824,64.8772430825242,47.8695597252968,87.9276244474135,0,0,1.16077070184131
"2005",2.4448452463202,64.8613743990883,47.8706725232156,87.8825733417146,0,0,1.20091282380458
"2005",2.49456332791395,64.8451926758008,47.8717532540938,87.8367456241461,0,0,1.24183699824814
"2005",2.54529247049043,64.8286922412238,47.8727990700598,87.7901317522033,0,0,1.28355682117853
"2005",2.5970532348653,64.811867355315,47.8738069849666,87.7427222656853,0,0,1.3260860168556
"2005",2.64986659997652,64.7947122110386,47.8747738694468,87.694507799872,0,0,1.36943843115612
"2005",2.70375397138724,64.777220936219,47.875696445931,87.6454790993721,0,0,1.41362802436201
"2005",2.75873718996158,64.7593875956553,47.8765712836406,87.5956270326593,0,0,1.45866886332463
"2005",2.81483854071687,64.7412061934529,47.8773947934935,87.544942607295,0,0,1.50457511268314
"2005",2.87208076185591,64.7226706756159,47.8781632229678,87.4934169858608,0,0,1.55136102518926
"2005",2.93048705398287,64.7037749329962,47.8788726510453,87.4410415026434,0,0,1.59904093148012
"2005",2.99008108950665,64.68451280456,47.8795189831701,87.3878076810674,0,0,1.64762922892889
"2005",3.05088702223543,64.6648780809756,47.8800979462296,87.3337072518818,0,0,1.69714036945811
"2005",3.11292949716635,64.6448645085551,47.8806050835901,87.2787321721144,0,0,1.74758884627715
"2005",3.1762336604743,64.624465793561,47.8810357502026,87.2228746448006,0,0,1.79898917943544
"2005",3.24082516970375,64.6036756069591,47.8813851078788,87.16612713951,0,0,1.85135590037244
