"age_band","pfpr","af","af_lo","af_hi","attributable_per_1000cy","attributable_lo","attributable_hi","allcause_rate_per_1000cy","rate_lo","rate_hi","reference_rate_per_1000cy"
"<1 month",0,0,0,0,0,0,0,316.907256374721,291.331052489381,345.721709197473,316.907256374722
"<1 month",1,0.00219400760723293,-0.00175068153634751,0.00613539177226052,0.681813311655604,-0.576417691837209,1.84005698671304,317.589069686377,291.966404379851,344.714125309761,316.907256374722
"<1 month",2,0.00438033407015552,-0.00350089639396579,0.0122333026622039,1.36678583475323,-1.15045813346642,3.69063459536629,318.274042209475,293.036440269125,345.13542588382,316.907256374722
"<1 month",3,0.00656187754158293,-0.0052420264881203,0.0182942319656495,2.05585514456618,-1.71881673781065,5.55027222382764,318.963111519288,293.532353186384,345.203088443379,316.907256374722
"<1 month",4,0.00874295243572585,-0.00696099989833429,0.024318581523915,2.75041788636119,-2.27648133971592,7.41661573314115,319.657674261082,295.250213390839,345.288747651484,316.907256374722
"<1 month",5,0.010928886140008,-0.00864125427095843,0.0303064520759296,3.45219910163782,-2.8210675441839,9.28652912957161,320.35945547636,296.556331733075,345.464164934885,316.907256374722
"<1 month",6,0.0131256457602676,-0.0102637082372303,0.0362574704752796,4.16313110940969,-3.35254385801638,11.1562037620281,321.070387484131,297.475302825025,344.944938802455,316.907256374722
"<1 month",7,0.0153394944127736,-0.0118076573219297,0.0420930560817157,4.88524209733871,-3.86174776600504,13.0212649972852,321.79249847206,299.241724720625,345.421552181645,316.907256374722
"<1 month",8,0.0175766768656544,-0.0132271476602191,0.0478031670577098,5.62055453995138,-4.34320173546187,14.8766430532137,322.527810914673,299.717517853801,346.063144509966,316.907256374722
"<1 month",9,0.0198431346301653,-0.0145016618015737,0.0534022362236499,6.37099350362264,-4.7911085288138,16.7829234045588,323.278249878344,300.185475690403,346.904275503511,316.907256374722
"<1 month",10,0.0221442508397063,-0.0157462757974807,0.0588783260962622,7.13830482415737,-5.17668160351897,18.6998039171071,324.045561198879,301.024062761932,347.945621899056,316.907256374722
"<1 month",11,0.0244846254317638,-0.0167860320661265,0.064220226582118,7.92398307225011,-5.52289313214523,20.6235876771161,324.831239446972,302.205668996541,348.377295353779,316.907256374722
"<1 month",12,0.0268678812133954,-0.017410346583627,0.0694169959295345,8.72920915150573,-5.73251092133496,22.4785789354186,325.636465526227,303.299810589112,349.186010756493,316.907256374722
"<1 month",13,0.0292965013818853,-0.0179709204876801,0.0744504447268715,9.5547973233763,-5.96467774608864,24.247185551884,326.462053698098,303.941572709128,350.08697836948,316.907256374722
"<1 month",14,0.0317716989372584,-0.0184074422128261,0.0793926306719983,10.4011514095151,-6.14541549935148,25.9745260942474,327.308407784236,305.165041738825,350.635679295343,316.907256374722
"<1 month",15,0.034293318208516,-0.0186253346608728,0.0845012148337328,11.2682298985867,-6.21926479397127,27.8355779432412,328.175486273308,305.872807423067,351.174349732489,316.907256374722
"<1 month",16,0.0368597684205657,-0.0186858648605181,0.0895998600439957,12.1555196766691,-6.22158036951351,29.718394041311,329.062776051391,306.502867785616,351.767522063339,316.907256374722
"<1 month",17,0.0394679888425387,-0.0187180927253294,0.0948054275191147,13.0620180964404,-6.34677456640463,31.3136055502054,329.969274471162,306.824458888284,352.623595059554,316.907256374722
"<1 month",18,0.0421134446715989,-0.018663739926745,0.0997556185999431,13.9862231207022,-6.19421560790251,33.0893528259145,330.893479495424,307.553832420433,353.503806736062,316.907256374722
"<1 month",19,0.0447901523383135,-0.0176831088571354,0.103878565942837,14.9261312821208,-5.9591895746397,34.7459923564482,331.833387656842,308.523605531405,354.464244407781,316.907256374722
"<1 month",20,0.0474907325094641,-0.0167343017392607,0.10809738239986,15.8792432278792,-5.51309711930088,36.212902192196,332.786499602601,309.606360419736,355.977083990237,316.907256374722
"<1 month",21,0.0502064886307219,-0.0156611846615723,0.112232657014912,16.842576626399,-5.16507408938136,37.6913092419001,333.749833001121,310.678928975445,356.739578720867,316.907256374722
"<1 month",22,0.0529275084843138,-0.0144665027022664,0.116018215179131,17.8126862223405,-4.78055737524561,39.1983002209158,334.719942597063,311.591863923587,357.770832305083,316.907256374722
"<1 month",23,0.0556427859321487,-0.0138721714556458,0.11945438231108,18.7856908252151,-4.60228738182337,40.6455258262195,335.692947199936,312.642478337379,358.779602674995,316.907256374722
"<1 month",24,0.0583403597585575,-0.0129257801479756,0.122713244686374,19.7573069936133,-4.32055910203249,42.1699674751052,336.664563368334,313.808724836447,359.952541831212,316.907256374722
"<1 month",25,0.0610074663940998,-0.0114193408324653,0.125714296340143,20.7228891517198,-3.80142069515959,43.5907880757458,337.630145526441,314.982002020966,361.023262491512,316.907256374722
"<1 month",26,0.0636307032110435,-0.0107146027504134,0.128616473663181,21.6774758169678,-3.43419768196776,45.0328363879488,338.584732191689,315.994840507877,362.16904351616,316.907256374722
"<1 month",27,0.0661961991168375,-0.0092870201379921,0.132085847966677,22.615841556402,-3.11513539030726,46.3530749063877,339.523097931123,316.574346091428,363.191362865947,316.907256374722
"<1 month",28,0.0686897892619805,-0.0073402397625017,0.135353154502514,23.532554202632,-2.42733887399487,47.5906692509659,340.439810577353,317.377870298718,364.314789221826,316.907256374722
"<1 month",29,0.071097190855486,-0.00575259395036963,0.138413493944776,24.422036764518,-1.91995991000095,49.0296197266075,341.329293139239,318.275499921188,365.250238342576,316.907256374722
"<1 month",30,0.0734041773170034,-0.00442702196018523,0.141590689101308,25.2786333607955,-1.4916879907187,50.1192369682166,342.185889735517,318.594405156747,366.427831110901,316.907256374722
"<1 month",31,0.0755967482745631,-0.00305485436607325,0.144443805852135,26.0966783909765,-1.03096147443438,51.390653690216,343.003934765698,318.897138028771,367.502608077504,316.907256374722
"<1 month",32,0.0776612932325375,-0.000899212439371537,0.146318468328394,26.870568044343,-0.296697923147181,52.0719856162623,343.777824419064,319.596229016798,368.52323804807,316.907256374722
"<1 month",33,0.0795847470659099,0.000907020037170179,0.1482685557714,27.5948331396606,0.312814859442358,52.7195085489475,344.502089514382,320.2890198354,369.319138172091,316.907256374722
"<1 month",34,0.0813547358279422,0.00355615997470462,0.150157912223716,28.2642121905864,1.18260074492366,53.3652691872859,345.171468565308,320.966987603811,370.016439538261,316.907256374722
"<1 month",35,0.0829597116774112,0.00543274821262077,0.151806492206729,28.8737235121867,1.80955497573212,54.5266329651273,345.780979886908,321.337568327559,370.835198045476,316.907256374722
"<1 month",36,0.0843890760325204,0.00771465834673934,0.153154032268556,29.4187351304572,2.45931317463543,55.1751179429288,346.32599150518,321.753861850157,371.633284526299,316.907256374722
"<1 month",37,0.0856332903073516,0.00837085964202968,0.154614740337113,29.8950312252871,3.04270983166468,55.6087802738091,346.802287600008,322.176662028585,372.339274460854,316.907256374722
"<1 month",38,0.0866839738256885,0.00920123638216763,0.156000851703351,30.2988738509094,3.21372668999946,56.2365049918708,347.206130225631,322.329336558923,372.345596537216,316.907256374722
"<1 month",39,0.0875339886591348,0.00975669203336674,0.157389178202417,30.6270587116357,3.31135385683809,57.0579365300674,347.534315086357,322.541510487341,373.011905545781,316.907256374722
"<1 month",40,0.0881774994006509,0.00993241545578355,0.157962945576017,30.8769593006993,3.33416967687481,57.2017552851846,347.784215675421,322.833477086114,373.670189967053,316.907256374722
"<1 month",41,0.0886099534351161,0.00972414173903376,0.159259912178869,31.0465374697045,3.27348845809661,57.598099439379,347.953793844426,323.091584354934,373.877084859917,316.907256374722
"<1 month",42,0.0888281749696079,0.00915375396773687,0.159854404488187,31.1343937675728,3.1341421032893,57.8348644540484,348.041650142295,322.973120050305,373.885239268655,316.907256374722
"<1 month",43,0.0888304377548454,0.00804664424832574,0.16058185806397,31.1398052879382,2.80872986566212,57.9995225952234,348.04706166266,322.666511846454,373.9465480588,316.907256374722
"<1 month",44,0.0886164836070203,0.00725569950215506,0.15958671400948,31.0627377019299,2.5652261730742,57.5727813002235,347.969994076652,322.570071084281,373.787723265662,316.907256374722
"<1 month",45,0.0881875274096563,0.00646198723121875,0.159119206007408,30.9038467656856,2.25232723212763,57.4094839316856,347.811103140407,322.378531066889,373.92037990773,316.907256374722
"<1 month",46,0.087546248671587,0.00547686389058914,0.158759537518617,30.6644693320838,1.82348093549779,57.0548618840288,347.571725706805,321.792402906687,374.063294013246,316.907256374722
"<1 month",47,0.0866967694734694,0.00486449683364201,0.158498787683919,30.3466040572148,1.58142286906348,56.6273474783409,347.253860431936,321.34349584519,374.272695362934,316.907256374722
"<1 month",48,0.0856446185741044,0.0033029743119252,0.15737008083525,29.952882211326,1.11113789009369,56.6714796615117,346.860138586047,320.557414348889,374.105732190108,316.907256374722
"<1 month",49,0.0843966814240076,0.00234234225692868,0.156754641557278,29.4865292136788,0.787652698367476,56.3687404351353,346.3937855884,319.839403850085,373.877004940686,316.907256374722
"<1 month",50,0.0829611183793275,-0.000200005009661341,0.155309143592068,28.951311129826,-0.0647481231510283,56.2742505825619,345.858567504547,319.092485209395,373.682999261005,316.907256374722
"<1 month",51,0.0813472235686193,-0.00230255053734115,0.154091484483707,28.351457063321,-0.771740212309272,56.013598389817,345.258713438042,318.31372266432,373.419198173617,316.907256374722
"<1 month",52,0.0795653874927388,-0.00378292382623237,0.153379418234541,27.691619973109,-1.21933311795382,55.1868977099042,344.598876347831,317.917465921881,373.088167465387,316.907256374722
"<1 month",53,0.0776270034836002,-0.00623520809963502,0.151476010503674,26.9768163464194,-2.0339032470068,54.2389917822621,343.884072721141,317.0280221857,372.675389132576,316.907256374722
"<1 month",54,0.0755443023094107,-0.00943424740298462,0.149564408198798,26.2123404720191,-3.08100762537923,53.5503733014507,343.119596846741,315.918648349945,371.981220926922,316.907256374722
"<1 month",55,0.0733302446524878,-0.0126245434557028,0.14808194113207,25.4037028107454,-4.41380585530413,52.9943691674745,342.310959185467,315.049721918021,371.083674548028,316.907256374722
"<1 month",56,0.0709983910261211,-0.015802511992539,0.146939571771266,24.5565630109331,-5.3154781365169,52.1420183356571,341.463819385654,313.68254819038,370.483243644326,316.907256374722
"<1 month",57,0.0685627393826148,-0.0193438944785284,0.145170192292048,23.6766548712748,-6.20059224163372,51.7647266247196,340.583911245996,312.689237363333,370.072669103395,316.907256374722
"<1 month",58,0.0660375495588912,-0.0237570490447751,0.14455054385008,22.7697108799979,-7.78667486829566,51.4684633110716,339.67696725472,311.41124570546,369.171015195733,316.907256374722
"<1 month",59,0.063437161645203,-0.0278062656087873,0.141716414683351,21.8413895546956,-9.17674821683549,51.0177655858449,338.748645929417,310.057770548195,368.437037991707,316.907256374722
"<1 month",60,0.0607758192608104,-0.0308836193477051,0.139242779403586,20.8972096038331,-10.0220089182777,50.4659838008357,337.804465978555,308.883190059221,367.498569972702,316.907256374722
"<1 month",61,0.0580675313616092,-0.0350983404418869,0.138792713270454,19.9425018894076,-11.0489214580981,49.764721844984,336.849758264129,307.691252634998,367.308465948589,316.907256374722
"<1 month",62,0.0553258736427051,-0.039147346652046,0.13776916461491,18.9823443888799,-12.2991721485128,48.9416043368671,335.889600763601,306.694759427713,366.905259280127,316.907256374722
"<1 month",63,0.052563770525272,-0.0434201958147977,0.137695308979631,18.0214945770831,-13.5880220516227,48.3722813180144,334.928750951805,305.597459744591,366.510269581004,316.907256374722
"<1 month",64,0.0497933899109727,-0.0486403963747572,0.136287386150514,17.064364062581,-14.9682925466391,48.1600411303187,333.971620437302,304.152164233263,366.343441891589,316.907256374722
"<1 month",65,0.0470259716948176,-0.0548132548145513,0.135313246324625,16.1149723175926,-16.4088207025393,48.0329333823975,333.022228692314,302.782649838563,366.043144872442,316.907256374722
"<1 month",66,0.0442716519171745,-0.0601271606061413,0.134998761008757,15.1769007264483,-18.2464332487454,47.7792887805044,332.08415710117,301.578218686854,365.156891387612,316.907256374722
"<1 month",67,0.0415395114196908,-0.0636826720953234,0.134351569678649,14.253323570078,-19.6237848569559,46.8502258169755,331.1605799448,300.802119636338,364.164994264831,316.907256374722
"<1 month",68,0.0388376081928264,-0.0676034241007174,0.132966140763341,13.3470319081137,-20.4798623714269,46.1496409302446,330.254288282835,299.291743135419,363.18903396245,316.907256374722
"<1 month",69,0.036172949311344,-0.0720780653693221,0.131817276331006,12.4604356575684,-21.7117194914672,45.7250861700365,329.36769203229,298.048659078898,362.937413072765,316.907256374722
"<1 month",70,0.0335513321466229,-0.0759271434669653,0.129611039901943,11.5955209154798,-22.9386476097272,45.3647761222625,328.502777290202,296.862590945386,363.186997234941,316.907256374722
"<1 month",71,0.0309774146464517,-0.0803623257327407,0.127658221595155,10.7538829741673,-24.217287502875,44.8105269494859,327.661139348889,295.703635110528,362.311411569313,316.907256374722
"<1 month",72,0.0284548153719149,-0.0848809819900974,0.126892429244164,9.93676685392941,-25.8404149281176,44.0275908013643,326.844023228651,294.211729456714,362.472657118124,316.907256374722
"<1 month",73,0.0259860375689648,-0.089767876153621,0.127168584636465,9.14504750597645,-26.9188445388775,43.7829360254315,326.052303880698,292.578366811507,363.293129943545,316.907256374722
"<1 month",74,0.0235727641775441,-0.0942761913959817,0.126388400110417,8.3793308240952,-28.2664821148422,42.9421257379715,325.286587198817,291.068923321762,362.34981432959,316.907256374722
"<1 month",75,0.0212155689212292,-0.098249776229929,0.126840713684636,7.63986072692593,-29.6056522849995,43.0981756752343,324.547117101647,289.878995152541,362.348165371355,316.907256374722
"<1 month",76,0.01891361437289,-0.102130620729617,0.124893229110079,6.92642293111133,-30.0422079895636,43.0900294687582,323.833679305833,288.195115854031,363.07682155684,316.907256374722
"<1 month",77,0.0166649764702006,-0.108222935976772,0.123950982877466,6.23845287261842,-31.8790082005482,43.7191140964297,323.14570924734,286.499825549894,362.743628700798,316.907256374722
"<1 month",78,0.014466746687193,-0.112794312079932,0.123211165115562,5.57506933201764,-32.8145197232517,42.9375740158355,322.482325706739,284.052546612391,362.74328862994,316.907256374722
"<1 month",79,0.0123152561648409,-0.116717041398322,0.124603829793631,4.93514666106421,-33.4302232918675,43.7474179005824,321.842403035785,283.514886483849,363.516242729763,316.907256374722
"<1 month",80,0.0102061706636441,-0.120672897918538,0.123774529064696,4.31734522019394,-34.5151623496889,44.9063175328423,321.224601594915,281.428115793035,364.361688717737,316.907256374722
"1-3 months",0,0,0,0,0,0,0,32.5720669217417,28.2643605542142,37.3839251886041,32.5720669217418
"1-3 months",1,0.00463218213649349,-0.000349253754019785,0.00946278649343764,0.148503764687248,-0.0114815307730524,0.293460605784205,32.720570686429,28.4451630640648,37.4829468286808,32.5720669217418
