"iso3","year","regkey","month","measured","map","gap","sahel","era"
"AGO",2011,"hiperendemica",2.46760530211758,16.4357014329885,NA,NA,FALSE,"2009-2012"
"AGO",2011,"luanda",1.84497843829265,1.82173048365905,6.04885840063977,4.22712791698072,FALSE,"2009-2012"
"AGO",2011,"mesoendemicaestavel",2.67097150445276,11.0652976145973,NA,NA,FALSE,"2009-2012"
"AGO",2011,"mesoendemicainstavel",3.10467215720123,10.2574399721598,NA,NA,FALSE,"2009-2012"
"AGO",2015,"bengo",0.53052847444563,7.4804792199288,8.6843139499301,1.2038347300013,FALSE,"2013-2018"
"AGO",2015,"benguela",11.5568066262413,7.50518330220618,10.1514915889101,2.64630828670392,FALSE,"2013-2018"
"AGO",2015,"bie",1.01024649053465,23.8766933621074,25.9841434236365,2.10745006152911,FALSE,"2013-2018"
"AGO",2015,"cabinda",0.629712461995617,15.1790027233656,20.8423335659145,5.66333084254888,FALSE,"2013-2018"
"AGO",2015,"cuandocubango",1.08107345857523,30.6573082071376,20.2260687694171,-10.4312394377205,FALSE,"2013-2018"
"AGO",2015,"cuanzanorte",12.0567110758559,28.5115232986039,29.0644113581561,0.55288805955216,FALSE,"2013-2018"
"AGO",2015,"cuanzasul",11.5853256295761,22.0066060511155,22.640072759523,0.633466708407479,FALSE,"2013-2018"
"AGO",2015,"cunene",0.649688784792297,0.327049392654191,6.77245896367257,6.44540957101838,FALSE,"2013-2018"
"AGO",2015,"huambo",11.6890534639314,0.72471118175708,4.59935550083992,3.87464431908284,FALSE,"2013-2018"
"AGO",2015,"huila",11.471572146059,1.99828698519194,5.97286551193955,3.97457852674761,FALSE,"2013-2018"
"AGO",2015,"luanda",0.800501288826929,4.46383668237244,7.88567715973098,3.42184047735854,FALSE,"2013-2018"
"AGO",2015,"lundanorte",11.7206872929589,16.7317733817495,22.5755180991572,5.84374471740771,FALSE,"2013-2018"
"AGO",2015,"lundasul",0.603965817201287,7.09256781324124,19.2638545445957,12.1712867313545,FALSE,"2013-2018"
"AGO",2015,"malanje",11.7515123563787,18.2087843282762,19.2576875068855,1.04890317860927,FALSE,"2013-2018"
"AGO",2015,"moxico",11.5359884472756,31.332816125164,32.2776548471668,0.944838722002757,FALSE,"2013-2018"
"AGO",2015,"namibe",0.557174280652742,0.983175357828359,5.78929664733694,4.80612128950858,FALSE,"2013-2018"
