"subregion","n","median_period60","median_period24","median_ratio","pct_period60_higher","log_correlation"
"West Africa",334,61.92,58.73,1.01890014168771,56.5868263473054,0.951985530339218
"Central Africa",132,52.855,59.27,0.922601910742755,31.8181818181818,0.943432634082838
"East & Southern",363,46.1,48.09,0.997310381925766,49.5867768595041,0.929451368901641
"ALL",829,52.73,54.17,0.998644421272158,49.577804583836,0.9385198800705
