"label","n","median_exposure","pct_change_per_10","lo","hi","ci_width","p_value","af10","af30","af50"
"Survey year (primary)",952,710,8.43238129182995,4.98263015545617,11.9954919704946,7.0128618150384,9.2152879615395e-07,15.0483243517825,34.7762765814979,39.6495698458393
"Lag 1 year",952,710,8.01843432257474,4.78390257373027,11.3528115188334,6.56890894510316,6.60333159982906e-07,15.7721159757538,32.8044517762851,38.9029904141399
"Lag 2 years",952,710,6.71681560034083,3.68468120863992,9.83762113287145,6.15293992423154,9.84935820524502e-06,11.933980123754,27.6471434821218,33.351788858363
"5-year window mean",952,710,8.00054838396351,4.63012711773481,11.4795400956727,6.84941297793786,1.95450702333643e-06,14.4362894731739,32.5004597573804,37.8776132637546
