"outcome","n","countries","selected_specification","selected_pfpr_smooth_edf","selected_pfpr_p","selected_time_interaction_edf","selected_time_interaction_p","linear_pct_change_per_10","linear_pct_change_lo","linear_pct_change_hi","linear_pfpr_p","af10","af30","af50"
"postneonatal",921,34,"spline_no_interaction",1.00089209689292,0.137780303134184,NA,NA,5.72585425986532,-1.75867854859605,13.7805975513834,0.137547422725622,0.0488783731487059,0.149102001689816,0.238773563192685
"all_under_5",921,34,"spline_no_interaction",1.00509113282111,0.409752643106145,NA,NA,3.09264395159932,-4.06424187379584,10.7834392985137,0.40692615054866,0.0268806519276102,0.0841819432885798,0.138470329835616
"neonatal",921,34,"spline_no_interaction",1.89481992568101,0.349626319082753,NA,NA,-2.02772595545824,-8.98292952888371,5.45896974903006,0.585710371337808,0,0,0
