"model","AIC","edf","theta","dAIC"
"common linear slope",137099.122864553,607.297096966959,7.04830704913076,178.265536239865
"band-specific linear slopes",137074.910803547,612.00936732102,7.1016783320795,154.053475234105
"common smooth",137012.874615303,610.603259557795,7.14647472305427,92.0172869899252
"band-specific smooths",136920.857328313,620.151429595811,7.26432051519879,0
