"subset","split","region","era","prevalence","af","lo","hi"
"West, before 2013","era x region","West","before 2013",16.227554871211,0.347314358013029,0.129364534269413,0.504265493988154
"West, before 2013","era x region","West","before 2013",18.142982193952,0.372556986101947,0.145328191912066,0.534281108067376
"West, before 2013","era x region","West","before 2013",20.058409516693,0.393817258325194,0.157150561616791,0.556336785935491
"West, before 2013","era x region","West","before 2013",21.973836839434,0.411238065324989,0.168114908257383,0.573631553921107
"West, before 2013","era x region","West","before 2013",23.889264162175,0.424975552963119,0.178481441114353,0.58763794492663
"West, before 2013","era x region","West","before 2013",25.8046914849161,0.435221895318906,0.186627908778619,0.595650863106599
"West, before 2013","era x region","West","before 2013",27.7201188076571,0.442233124674844,0.195046898611839,0.601511358792245
"West, before 2013","era x region","West","before 2013",29.6355461303981,0.446260608557228,0.200486423621219,0.603885375734349
"West, before 2013","era x region","West","before 2013",31.5509734531391,0.447629186442243,0.202733483092429,0.604082687804965
"West, before 2013","era x region","West","before 2013",33.4664007758801,0.446816802672957,0.2055651003992,0.602535069519263
"West, before 2013","era x region","West","before 2013",35.3818280986211,0.444417932658092,0.208479253134022,0.598609088355932
"West, before 2013","era x region","West","before 2013",37.2972554213621,0.441135756182778,0.21247161641638,0.594939881228453
"West, before 2013","era x region","West","before 2013",39.2126827441031,0.437721062704703,0.2121512206184,0.591973349775356
"West, before 2013","era x region","West","before 2013",41.1281100668441,0.434915222025179,0.214621100906799,0.588146318400618
"West, before 2013","era x region","West","before 2013",43.0435373895851,0.433354789227401,0.216167335183806,0.58524981709435
"West, before 2013","era x region","West","before 2013",44.9589647123261,0.433502692269776,0.219743669638683,0.586851726482794
"West, before 2013","era x region","West","before 2013",46.8743920350671,0.435626661719365,0.224884001911195,0.588877719971152
"West, before 2013","era x region","West","before 2013",48.7898193578081,0.439817250156383,0.229997768597906,0.593266444541842
"West, before 2013","era x region","West","before 2013",50.7052466805492,0.445952504313969,0.234186624500395,0.599955163282298
"West, before 2013","era x region","West","before 2013",52.6206740032902,0.453670065016775,0.238353110853389,0.609453085095544
"West, before 2013","era x region","West","before 2013",54.5361013260312,0.462475060448973,0.244599332362474,0.619793112923248
"West, before 2013","era x region","West","before 2013",56.4515286487722,0.471829913452603,0.252453797693304,0.628954513825593
