"subset","split","region","era","prevalence","af","lo","hi"
"all data","reference","Both regions","All years",1.76108935262818,-0.00205641688066334,-0.0129183721662413,0.00538896240215887
"all data","reference","Both regions","All years",3.51881340156801,-0.0068634024800676,-0.0431964186741993,0.0177330433723365
"all data","reference","Both regions","All years",5.27653745050784,-0.0114913452804234,-0.073561866939952,0.0298427502727923
"all data","reference","Both regions","All years",7.03426149944767,-0.0154473048861921,-0.101600798446643,0.041405762044078
"all data","reference","Both regions","All years",8.7919855483875,-0.0182197315104709,-0.124898846086496,0.0528075490770587
"all data","reference","Both regions","All years",10.5497095973273,-0.0194038559113584,-0.142707594579924,0.0642751300028536
"all data","reference","Both regions","All years",12.3074336462672,-0.0187590983656896,-0.152302220246754,0.0748924292165507
"all data","reference","Both regions","All years",14.065157695207,-0.0162110463855118,-0.156802894006658,0.0847390779713942
"all data","reference","Both regions","All years",15.8228817441468,-0.0118429659852091,-0.153459075014624,0.0968556118780689
"all data","reference","Both regions","All years",17.5806057930866,-0.00589973414330664,-0.14922099726333,0.106623990221261
"all data","reference","Both regions","All years",19.3383298420265,0.00123648901653717,-0.140061099871527,0.116884252113068
"all data","reference","Both regions","All years",21.0960538909663,0.00909780836169704,-0.128508879789183,0.128109616925798
"all data","reference","Both regions","All years",22.8537779399061,0.0171897023853696,-0.115532770128841,0.138246548306551
"all data","reference","Both regions","All years",24.611501988846,0.0250369353394369,-0.104928383362117,0.146054493826515
"all data","reference","Both regions","All years",26.3692260377858,0.0322163390830901,-0.0959060517155631,0.155790899912655
"all data","reference","Both regions","All years",28.1269500867256,0.0383675097650079,-0.0903084764943135,0.163069674932305
"all data","reference","Both regions","All years",29.8846741356654,0.0431997766020851,-0.08662283348296,0.167637979474659
"all data","reference","Both regions","All years",31.6423981846053,0.0465015055430613,-0.0844518267634745,0.172604702623311
"all data","reference","Both regions","All years",33.4001222335451,0.0481366585533381,-0.0851846964021629,0.177005611504988
"all data","reference","Both regions","All years",35.1578462824849,0.0480426124708602,-0.0883195417948151,0.177228339032615
"all data","reference","Both regions","All years",36.9155703314248,0.0462469532459683,-0.0910476062953033,0.176182481577581
"all data","reference","Both regions","All years",38.6732943803646,0.0428548424703108,-0.0976614657303437,0.174613761822485
"all data","reference","Both regions","All years",40.4310184293044,0.0380282207481526,-0.104256560161804,0.17308144028652
"all data","reference","Both regions","All years",42.1887424782442,0.0319756258577821,-0.115863764433797,0.168646594637032
"all data","reference","Both regions","All years",43.9464665271841,0.0249465241235828,-0.125915232870533,0.162238699450827
"all data","reference","Both regions","All years",45.7041905761239,0.0172136281360989,-0.136774513445146,0.156422444490952
"all data","reference","Both regions","All years",47.4619146250637,0.00905761627748048,-0.15218836828334,0.151526994756853
"all data","reference","Both regions","All years",49.2196386740036,0.000756115275185974,-0.167699015222204,0.145346115394494
"all data","reference","Both regions","All years",50.9773627229434,-0.00743575225045123,-0.183561225909264,0.139169021098819
"all data","reference","Both regions","All years",52.7350867718832,-0.0152900337396759,-0.200681481316263,0.136136867973532
"all data","reference","Both regions","All years",54.492810820823,-0.0226139792656332,-0.214874181184549,0.132624272184182
"all data","reference","Both regions","All years",56.2505348697629,-0.0292444222684405,-0.226718243940642,0.130673217381344
"all data","reference","Both regions","All years",58.0082589187027,-0.0350565143550034,-0.239859644841308,0.130999542335024
