"grouping","age_group","cells","deaths","af10","af10_lo","af10_hi","af30","af30_lo","af30_hi","af50","af50_lo","af50_hi","beta_per_10","se","p_value","hr_per_10","hr_lo","hr_hi","nb_theta","time_interaction_pct_per_year","time_interaction_p"
"four groups","0-3 months",10464,39801.0309790001,0.0156926822376818,0.00490204751709689,0.0263663055651847,0.0496892687243994,0.0157096246339924,0.0824958685166933,0.0825116610627118,0.0263998226297207,0.135389586349924,0.0175745732121051,0.00618084689819923,0.00447233812888337,1.01772991470975,1.00547504687753,1.03013414655259,10.3427754634169,0.000544389889634012,0.995030767419004
"four groups","3-12 months",15696,21471.778589,0.0470935594964,0.032925983785248,0.0610535810822568,0.143957573191775,0.102265388637577,0.183713508178561,0.230975250719856,0.16663314397326,0.29034966926209,0.0535983931173623,0.00836638857810442,1.53274425187723e-10,1.05506079738149,1.03790086199205,1.07250444328062,4.97435410681454,0.0871458064458652,0.485898223704805
"four groups","1-2 years",5232,15276.845317,0.0587372195127471,0.0410318798088779,0.0761156671673094,0.177206915149285,0.126286609948355,0.225159568130072,0.280765717595137,0.203961975499877,0.350159242315995,0.06725880194812,0.0105643278571039,2.10142233339019e-10,1.06957224974043,1.04765330921227,1.09194977704502,6.35674426047919,0.0150696028389907,0.925053055223521
"four groups","2-5 years",15696,23009.689942,0.0383403140876657,0.0239224514799122,0.0525452071803522,0.118360152692426,0.0750544803543881,0.159638266415586,0.191721529198655,0.123507947078977,0.254626343520507,0.0434384975011448,0.00843617203881987,2.64958870909589e-07,1.04439575938775,1.02726876959417,1.06180829643835,4.44278647291718,0.505985685180077,3.32678769103469e-05
"neonatal split","0 months",5232,32580.748998,0.00594821852756899,-0.00588466098071749,0.017641900130878,0.0190401149921776,-0.0190859639299279,0.0557398197462305,0.0319595880918926,-0.032460521732619,0.0923602216628833,0.00662886627306589,0.0067082730372782,0.323119494587904,1.00665088583512,0.993501855969283,1.01997394354537,15.8026471608487,-0.0374377519048896,0.700431005461113
"neonatal split","1-2 months",5232,7220.28198099999,0.0405553197145585,0.0194973961223548,0.061160989386924,0.124886771979699,0.0614747171263235,0.184014351205081,0.20180581789429,0.101654903200001,0.290791529205346,0.0460006888085014,0.0123076203182903,0.000187813280954288,1.04707513219094,1.02211882585689,1.07264077787975,4.71425919271298,0.259271775502468,0.123058220119195
"neonatal split","3-11 months",15696,21471.778589,0.0470935594964,0.032925983785248,0.0610535810822568,0.143957573191775,0.102265388637577,0.183713508178561,0.230975250719856,0.16663314397326,0.29034966926209,0.0535983931173623,0.00836638857810442,1.53274425187723e-10,1.05506079738149,1.03790086199205,1.07250444328062,4.97435410681454,0.0871458064458652,0.485898223704805
"neonatal split","12-23 months",5232,15276.845317,0.0587372195127471,0.0410318798088779,0.0761156671673094,0.177206915149285,0.126286609948355,0.225159568130072,0.280765717595137,0.203961975499877,0.350159242315995,0.06725880194812,0.0105643278571039,2.10142233339019e-10,1.06957224974043,1.04765330921227,1.09194977704502,6.35674426047919,0.0150696028389907,0.925053055223521
"neonatal split","24-59 months",15696,23009.689942,0.0383403140876657,0.0239224514799122,0.0525452071803522,0.118360152692426,0.0750544803543881,0.159638266415586,0.191721529198655,0.123507947078977,0.254626343520507,0.0434384975011448,0.00843617203881987,2.64958870909589e-07,1.04439575938775,1.02726876959417,1.06180829643835,4.44278647291718,0.505985685180077,3.32678769103469e-05
"six bands","<1 month",5232,32580.748998,0.00594821852756899,-0.00588466098071749,0.017641900130878,0.0190401149921776,-0.0190859639299279,0.0557398197462305,0.0319595880918926,-0.032460521732619,0.0923602216628833,0.00662886627306589,0.0067082730372782,0.323119494587904,1.00665088583512,0.993501855969283,1.01997394354537,15.8026471608487,-0.0374377519048896,0.700431005461113
"six bands","1-2 months",5232,7220.28198099999,0.0405553197145585,0.0194973961223548,0.061160989386924,0.124886771979699,0.0614747171263235,0.184014351205081,0.20180581789429,0.101654903200001,0.290791529205346,0.0460006888085014,0.0123076203182903,0.000187813280954288,1.04707513219094,1.02211882585689,1.07264077787975,4.71425919271298,0.259271775502468,0.123058220119195
"six bands","3-11 months",15696,21471.778589,0.0470935594964,0.032925983785248,0.0610535810822568,0.143957573191775,0.102265388637577,0.183713508178561,0.230975250719856,0.16663314397326,0.29034966926209,0.0535983931173623,0.00836638857810442,1.53274425187723e-10,1.05506079738149,1.03790086199205,1.07250444328062,4.97435410681454,0.0871458064458652,0.485898223704805
"six bands","12-23 months",5232,15276.845317,0.0587372195127471,0.0410318798088779,0.0761156671673094,0.177206915149285,0.126286609948355,0.225159568130072,0.280765717595137,0.203961975499877,0.350159242315995,0.06725880194812,0.0105643278571039,2.10142233339019e-10,1.06957224974043,1.04765330921227,1.09194977704502,6.35674426047919,0.0150696028389907,0.925053055223521
"six bands","24-35 months",5232,11801.024667,0.0597215887798964,0.0403277412167687,0.0787235094952284,0.179976333431892,0.124217742152844,0.232184932148786,0.284851374116685,0.200774476765292,0.36008355309669,0.0684214060247944,0.0115735915600918,3.6010674301514e-09,1.07081646192121,1.04679924095844,1.09538472159342,5.87368304959433,0.409585642022625,0.0126708491581001
"six bands","36-59 months",10464,11208.665275,0.0282561722707338,0.00898615239247003,0.0471514913645382,0.0882220113452284,0.0286673295496629,0.144125256067102,0.144487387650321,0.0479576456354107,0.231229759333705,0.0318478455293527,0.0111316834435841,0.00423139924407607,1.03236041510196,1.01008021246303,1.05513207121508,4.02174201700977,0.66553418790607,1.62215941905523e-05
"six bands (4-month split)","<1 month",5232,32580.748998,0.00594821852756899,-0.00588466098071749,0.017641900130878,0.0190401149921776,-0.0190859639299279,0.0557398197462305,0.0319595880918926,-0.032460521732619,0.0923602216628833,0.00662886627306589,0.0067082730372782,0.323119494587904,1.00665088583512,0.993501855969283,1.01997394354537,15.8026471608487,-0.0374377519048896,0.700431005461113
"six bands (4-month split)","1-3 months",10464,10434.171447,0.0314879192385563,0.0123628639362986,0.0502426282598184,0.0979567553903593,0.0392914427486317,0.153039692418406,0.159863845470909,0.0654857960743229,0.244710508217096,0.0355492472560463,0.011085262270411,0.00134584037381259,1.03618867632061,1.0139181005372,1.05894842232937,3.24521711258497,0.0446559460913765,0.768922117297369
"six bands (4-month split)","4-11 months",10464,18257.8891230001,0.0572974019123341,0.0424902539079356,0.071875568819758,0.173144533838165,0.130560813872451,0.21364257232661,0.274755407157448,0.210530752862486,0.333755277543141,0.0655604717521903,0.0088350596848424,1.25851776145459e-13,1.06775730451635,1.04942642684764,1.0864083771673,6.614442216447,0.107439059912684,0.419924018042414
"six bands (4-month split)","12-23 months",5232,15276.845317,0.0587372195127471,0.0410318798088779,0.0761156671673094,0.177206915149285,0.126286609948355,0.225159568130072,0.280765717595137,0.203961975499877,0.350159242315995,0.06725880194812,0.0105643278571039,2.10142233339019e-10,1.06957224974043,1.04765330921227,1.09194977704502,6.35674426047919,0.0150696028389907,0.925053055223521
"six bands (4-month split)","24-35 months",5232,11801.024667,0.0597215887798964,0.0403277412167687,0.0787235094952284,0.179976333431892,0.124217742152844,0.232184932148786,0.284851374116685,0.200774476765292,0.36008355309669,0.0684214060247944,0.0115735915600918,3.6010674301514e-09,1.07081646192121,1.04679924095844,1.09538472159342,5.87368304959433,0.409585642022625,0.0126708491581001
