"iso3","country","tier","regions","pfpr","allcause_under5","model_under5","model_lo","model_hi","model_1_59m","ihme_under5","ihme_lo","ihme_hi","ratio_model_ihme","region_pipeline_2024","who_u5_proxy_2024","who_all_age_2024"
"TGO","Togo","regional (latest DHS)",6,22.5,16109,3629.7060629471,3187.31537495166,4102.75046112734,3294.64009738625,1863.65613692523,1571.36084293631,2188.7571087139,1.94762649129877,2647.88399821277,2614.5,3486
"SOM","Somalia","national (no panel DHS)",1,3,78271,2377.65304971164,2004.88578307523,2743.0162107119,2246.87199465115,1200.23039386064,796.626751120287,1572.77151654205,1.980997200099,1948.0650811744,1944,2592
"LBR","Liberia","regional (latest DHS)",5,15,14534,2184.2925621293,1841.513546293,2550.62440694815,1992.24887020495,2689.78371276534,2321.94761475361,3285.60007793247,0.8120699637532,2043.16912866228,2672.25,3563
"KEN","Kenya","regional (latest DHS)",47,4.6,58200,1696.9841264033,1259.62115166449,2187.07987964917,1425.9550189548,2762.50881132626,1999.47866831525,3414.41683412939,0.614290937080699,1746.44002619074,8742,11656
"COG","Congo - Brazzaville","regional (latest DHS)",12,20.4,7367,1363.5718074415,1167.1384452729,1570.93850445747,1200.75956427897,1414.45241393579,1210.39861623528,1650.43032097768,0.964028053547088,1371.62057445706,1712.25,2283
"SEN","Senegal","regional (latest DHS)",14,7.1,19308,1129.12578741481,887.805959767664,1407.06924680635,965.01291254447,766.297572416344,630.165138575998,953.596593365094,1.47348214069682,845.440868920852,1306.5,1742
"GNQ","Equatorial Guinea","national (no panel DHS)",1,22.8,3727,785.338303725165,674.76364512477,900.100305973132,701.449067930697,718.459783286752,581.985375504329,849.096263456087,1.09308596249113,739.60159610159,576.75,769
"ZWE","Zimbabwe","regional (latest DHS)",10,3.5,31802,509.909661234607,325.73976773662,716.525412184721,411.810209294192,275.192339219123,230.722303801468,353.370178708902,1.85292098857661,660.781358483617,285.75,381
"GNB","Guinea-Bissau","national (no panel DHS)",1,6.3,4312,326.07817136349,275.101050495161,381.389646082688,299.828144201517,243.753822660091,196.059349889802,302.832338060934,1.33773562114839,218.762144500923,672.75,897
"GAB","Gabon","regional (latest DHS)",11,17.7,2235,323.990920089308,267.113995376833,386.837645480499,281.383446784016,264.514045573738,222.268138756488,324.608850779314,1.22485336983359,296.098749734275,329.25,439
"RWA","Rwanda","regional (latest DHS)",5,2.9,14910,307.327613888182,248.520273027693,372.351795933519,276.163393476295,2147.105688144,1439.21381345309,3202.43814304109,0.143135764385144,286.277320750014,2557.5,3410
"GMB","Gambia","regional (latest DHS)",8,7.6,3451,232.251482703715,187.709421558616,285.68054035139,202.083001934927,125.250703961608,100.395615052294,158.932353425733,1.85429283315569,177.835350832769,482.25,643
"MRT","Mauritania","regional (latest DHS)",13,2.6,6361,97.039980816014,75.2532142240893,123.126787033081,82.9390659240995,192.831907593039,154.182397303527,228.647565265375,0.503236119101261,90.9226968236832,690,920
"COM","Comoros","regional (latest DHS)",3,2.1,945,7.27855314811444,5.14770927575979,9.76752141370351,5.91451339418643,3.33028598949748,2.83814641986263,3.87315561067014,2.18556399392375,7.95391653500596,104.25,139
"SWZ","Eswatini","regional (latest DHS)",3,1.5,1323,6.99549597812118,5.03696948759649,9.28018358359508,5.86250658153359,0.481067001536171,0.402581504537207,0.573480671546236,14.5416250871142,11.7113057029383,0,0
"NAM","Namibia","regional (latest DHS)",11,1.1,3038,5.17050785130507,3.83279210770405,6.68034226916659,4.4194713877443,11.0131110529254,8.79334592863812,13.5830301002762,0.469486580717956,0,24,32
"ZAF","South Africa","regional (latest DHS)",6,0.2,41435,1.83760498093317,0,20.6501865588289,0.191031469849556,NA,NA,NA,NA,0,7.5,10
"BWA","Botswana","national (no panel DHS)",1,0.1,2032,0.142951459059343,0,1.61771836063122,0.00937107133220463,0.695282142301979,0.566078141558475,0.865365200478051,0.205602086350228,0,0.75,1
"ERI","Eritrea","national (no panel DHS)",1,1,3392,0.000542204186240864,0,0.00626514254868873,2.50380330352565e-05,43.3765641194195,29.0801253653352,58.955921032804,1.24999339447018e-05,0.409960102672354,589.5,786
