"regkey","clusters","exposure","u5mr","u5mr_se","nnmr","nnmr_se","postneonatal","postneonatal_se","u5mr_lo","u5mr_hi","nnmr_lo","nnmr_hi","postneonatal_lo","postneonatal_hi","svkey","iso3","year","horizon_months"
"hyperendemic",60,408.825043,58.2711563467321,12.0871552165332,12.6061431124218,4.75628925925578,45.6650132343103,10.9174641601676,34.5803321223271,81.9619805711371,3.28381616428048,21.9284700605631,24.2667834803817,67.0632429882388,"AO62FL","AGO",2011,12
"luanda",60,324.6530975,66.5388638355447,15.4182414766136,13.9347815709659,7.17627145697424,52.6040822645788,14.8778527108039,36.3191105413822,96.7586171297073,0,28.0002736266354,23.4434909514031,81.7646735777546,"AO62FL","AGO",2011,12
"mesoendemicstable",60,586.9129465,130.107199929501,15.7006662834488,21.2541350031371,7.80217923428393,108.853064926364,14.4826380337625,99.3338940139418,160.880505845061,5.96186370394063,36.5464063023336,80.4670943801898,137.239035472539,"AO62FL","AGO",2011,12
"mesoendemicunstable",58,329.118515,117.996318003781,22.7123563699395,25.0434558505467,6.69561953725887,92.9528621532345,20.4476682663275,73.4800995186997,162.512536488863,11.9200415575193,38.1668701435741,52.8754323512326,133.030291955236,"AO62FL","AGO",2011,12
"hyperendemic",60,754.586493,64.6515359763062,11.5240911064642,20.0627729762451,5.44398084839276,44.5887630000611,9.0098336840644,42.0643174076364,87.238754544976,9.39257051339533,30.732975439095,26.9294889792949,62.2480370208273,"AO62FL","AGO",2011,24
"luanda",60,632.9417185,67.5801238836259,11.0498972282991,16.4393192862354,6.31359907826288,51.1408045973905,10.2207975627955,45.9223253161597,89.237922451092,4.0646650928401,28.8139734796306,31.1080413743114,71.1735678204697,"AO62FL","AGO",2011,24
"mesoendemicstable",60,1269.691947,111.744699592502,10.6927367507354,23.9931804497772,5.53311827916443,87.7515191427244,9.29118341665555,90.7869355610602,132.702463623943,13.148268622615,34.8380922769395,69.5407996460795,105.962238639369,"AO62FL","AGO",2011,24
"mesoendemicunstable",58,629.9555145,115.923650281153,16.5423020904701,24.193589307805,4.77924939811047,91.7300609733485,15.7829772757545,83.5007381838321,148.346562378475,14.8262604875085,33.5609181281015,60.7954255128697,122.664696433827,"AO62FL","AGO",2011,24
"hyperendemic",60,1150.7624505,63.6343341520216,9.35664333748479,19.034102555643,3.80578000685289,44.6002315963786,7.71424218527808,45.2953132105514,81.9733550934918,11.5747737422113,26.4934313690746,29.4803169132336,59.7201462795237,"AO62FL","AGO",2011,36
"luanda",60,945.729362,69.0538909983742,9.21762143439568,22.8556570923088,5.33548077903817,46.1982339060654,7.08071748623633,50.9873529869587,87.1204290097897,12.398114765394,33.3131994192236,32.3200276330422,60.0764401790886,"AO62FL","AGO",2011,36
