"prevalence","af","lo","hi","model","year"
1,0,0,0,"spline_no_time_interaction",2000
1.28870292887029,0.00534092230461636,0.00291520735340112,0.00776073595930404,"spline_no_time_interaction",2000
1.57740585774059,0.0106533117918186,0.00582193597867664,0.0154612087201486,"spline_no_time_interaction",2000
1.86610878661088,0.0159372737444726,0.008720334024512,0.0231016710581786,"spline_no_time_interaction",2000
2.15481171548117,0.0211928363147849,0.0116107437999714,0.030682033751686,"spline_no_time_interaction",2000
2.44351464435146,0.026419939431524,0.0144937210855194,0.0382018312652783,"spline_no_time_interaction",2000
2.73221757322176,0.0316184296905799,0.0173700371386339,0.0456602168081434,"spline_no_time_interaction",2000
3.02092050209205,0.0367880853243484,0.0202406120701241,0.0530560829496861,"spline_no_time_interaction",2000
3.30962343096234,0.0419286225176037,0.0231064881026494,0.0603881045660309,"spline_no_time_interaction",2000
3.59832635983264,0.0470396820144896,0.0259688385492247,0.067654707984474,"spline_no_time_interaction",2000
3.88702928870293,0.052120821346341,0.0288289600979753,0.074854067502078,"spline_no_time_interaction",2000
4.17573221757322,0.0571715212369077,0.0316882421941712,0.0819841510744321,"spline_no_time_interaction",2000
4.46443514644351,0.0621912234541884,0.034548101256671,0.089042859088966,"spline_no_time_interaction",2000
4.75313807531381,0.0671793510269367,0.0374099439004419,0.0960280987355958,"spline_no_time_interaction",2000
5.0418410041841,0.0721353030250399,0.0402751485046949,0.102937790397891,"spline_no_time_interaction",2000
5.33054393305439,0.0770584541361332,0.0431450456953913,0.10976988387896,"spline_no_time_interaction",2000
5.61924686192469,0.081948167399708,0.0460209039479782,0.116522394642917,"spline_no_time_interaction",2000
5.90794979079498,0.0868038069624895,0.0489039232684799,0.123193431893835,"spline_no_time_interaction",2000
6.19665271966527,0.0916247393595447,0.0517952191928861,0.129781213040026,"spline_no_time_interaction",2000
6.48535564853556,0.0964103302468019,0.05469578749766,0.136284086660967,"spline_no_time_interaction",2000
